title,token,no_stopwords,processed,emoji,mention,hashtag,jumlah_emoji,jumlah_mention,jumlah_hashtag
kerja di Jepang gak harus menguasai rasenggan dan chidori,"[kerja, di, jepang, gak, harus, menguasai, rasenggan, dan, chidori]","[kerja, jepang, menguasai, rasenggan, chidori]",kerja jepang kuasa rasenggan chidori,,,,0,0,0
"""Terlahir disini tanpa diminta,menjalaninya hampir gila,siapa sangka burung segagah garuda memiliki parasit mematikan didalam tubuhnya""","[terlahir, disini, tanpa, diminta, menjalaninya, hampir, gila, siapa, sangka, burung, segagah, garuda, memiliki, parasit, mematikan, didalam, tubuhnya]","[terlahir, disini, diminta, menjalaninya, hampir, gila, siapa, sangka, burung, segagah, garuda, memiliki, parasit, mematikan, didalam, tubuhnya]",lahir sini minta jalan hampir gila siapa sangka burung gagah garuda milik parasit mati dalam tubuh,,,,0,0,0
di indo nyari duit pke duit🗿,"[di, indo, nyari, duit, pke, duit]","[indo, nyari, duit, pke, duit]",indo nyari duit pke duit,🗿,,,1,0,0
"kerja serius gaji bercanda🤣🤭
#kaburajadulu","[kerja, serius, gaji, bercanda]","[kerja, serius, gaji, bercanda]",kerja serius gaji canda,🤣🤭,,#kaburajadulu,2,0,1
Yang penting jangan ke Malaysia 😂🙏😂,"[yang, penting, jangan, ke, malaysia]","[penting, jangan, malaysia]",penting jangan malaysia,😂🙏😂,,,3,0,0
pengen ke jepang tapi gk bisa bahasa jepang 🗿,"[pengen, ke, jepang, tapi, gk, bisa, bahasa, jepang]","[pengen, jepang, gk, bahasa, jepang]",ken jepang gk bahasa jepang,🗿,,,1,0,0
"yang paling gak masuk akal itu ada persyaratan yang bilang ""harus bisa bekerja dibawah tekanan"" ☠️","[yang, paling, gak, masuk, akal, itu, ada, persyaratan, yang, bilang, harus, bisa, bekerja, dibawah, tekanan]","[paling, masuk, akal, ada, persyaratan, bilang, bisa, bekerja, dibawah, tekanan]",paling masuk akal ada syarat bilang bisa kerja bawah tekan,☠,,,1,0,0
Indonesia hanya untuk yg mampu,"[indonesia, hanya, untuk, yg, mampu]","[indonesia, untuk, mampu]",indonesia untuk mampu,,,,0,0,0
"pngen ke luar negri...
tpi gk tega ninggalin keluarga😭","[pngen, ke, luar, negri, tpi, gk, tega, ninggalin, keluarga]","[pngen, luar, negri, tpi, gk, tega, ninggalin, keluarga]",pngen luar negri tpi gk tega ninggalin keluarga,😭,,,1,0,0
goodbye indonesia hello bekasi 😂,"[goodbye, indonesia, hello, bekasi]","[goodbye, indonesia, hello, bekasi]",goodbye indonesia hello bekas,😂,,,1,0,0
"jangan buru-buru tergiur kerja di luar negeri tanpa riset yang matang. Kalau ada yang mencurigakan, mending cari opsi lain daripada nyesel belakangan.","[jangan, buru, buru, tergiur, kerja, di, luar, negeri, tanpa, riset, yang, matang, kalau, ada, yang, mencurigakan, mending, cari, opsi, lain, daripada, nyesel, belakangan]","[jangan, buru, buru, tergiur, kerja, luar, negeri, riset, matang, kalau, yang, mencurigakan, mending, cari, opsi, daripada, nyesel, belakangan]",jangan buru buru giur kerja luar negeri riset matang kalau yang curiga mending cari opsi daripada nyesel belakang,,,,0,0,0
gass belajar bahasa jepang,"[gass, belajar, bahasa, jepang]","[gass, belajar, bahasa, jepang]",gass ajar bahasa jepang,,,,0,0,0
otw Australia🇦🇺,"[otw, australia]","[otw, australia]",otw australia,,,,0,0,0
cara kabur dari indo?,"[cara, kabur, dari, indo]","[cara, kabur, indo]",cara kabur indo,,,,0,0,0
nahh ambil satu sorang🍦🍦🍦🍦🍦🍦🍦🍦🍦🍦🍦🍦🍦🍦🍦🍦🍦🍦🍦🍦🍦🍦🍦🍦🍦🍦🍦🍦🍦🍦🍦🍦🍦🍦🍦🍦🍦🍦🍦🍦🍦🍦🍦🍦🍦🍦bayar guna like ok ingat,"[nahh, ambil, satu, sorangbayar, guna, like, ok, ingat]","[nahh, ambil, satu, sorangbayar, like, ingat]",nahh ambil satu sorangbayar like ingat,🍦🍦🍦🍦🍦🍦🍦🍦🍦🍦🍦🍦🍦🍦🍦🍦🍦🍦🍦🍦🍦🍦🍦🍦🍦🍦🍦🍦🍦🍦🍦🍦🍦🍦🍦🍦🍦🍦🍦🍦🍦🍦🍦🍦🍦🍦,,,46,0,0
"saya udah dari 2019 kerja dimalaysia, belum ada niat pulkam karna masih banyak wishlist yg belum tercapai.. sekalipun tidak membuat saya kaya, setidaknya bisa memperbaiki ekonomi keluarga.","[saya, udah, dari, kerja, dimalaysia, belum, ada, niat, pulkam, karna, masih, banyak, wishlist, yg, belum, tercapai, sekalipun, tidak, membuat, saya, kaya, setidaknya, bisa, memperbaiki, ekonomi, keluarga]","[kerja, dimalaysia, ada, niat, pulkam, karna, banyak, wishlist, tercapai, sekalipun, membuat, kaya, bisa, memperbaiki, ekonomi, keluarga]",kerja dimalaysia ada niat pulkam karna banyak wishlist capai sekalipun buat kaya bisa baik ekonomi keluarga,,,,0,0,0
pengen komen tapi males ngetik.,"[pengen, komen, tapi, males, ngetik]","[pengen, komen, males, ngetik]",ken komen males ngetik,,,,0,0,0
setelah kabur eh endingnya malah minta tolong pak presiden 😂,"[setelah, kabur, eh, endingnya, malah, minta, tolong, pak, presiden]","[kabur, endingnya, malah, minta, pak, presiden]",kabur endingnya malah minta pak presiden,😂,,,1,0,0
aku tamat sma 2023 langsung merantau ke malaysia 😹😸,"[aku, tamat, sma, langsung, merantau, ke, malaysia]","[aku, tamat, sma, langsung, merantau, malaysia]",aku tamat sma langsung rantau malaysia,😹😸,,,2,0,0
cuma orang kaya doang yg bisa kabur😹,"[cuma, orang, kaya, doang, yg, bisa, kabur]","[cuma, orang, kaya, doang, kabur]",cuma orang kaya doang kabur,😹,,,1,0,0
saya sudah di Malaysia 🇲🇾🇲🇾🇲🇾🇲🇾🇲🇾🇲🇾❤️❤️❤️,"[saya, sudah, di, malaysia]","[sudah, malaysia]",sudah malaysia,❤❤❤,,,3,0,0
"kerja dijepang juga butuh dana dulu yg ngga sedikit,kocak","[kerja, dijepang, juga, butuh, dana, dulu, yg, ngga, sedikit, kocak]","[kerja, dijepang, butuh, dana, dulu, sedikit, kocak]",kerja dijepang butuh dana dulu sedikit kocak,,,,0,0,0
"tapi kalo lu kerja dijepang lu harus kerja di sana sampai seumuran hidup lu bahkan sampai punya anak istri,lu bakal susah berhenti kerja di jepang kecuali pensiun,itu sisi gelap yang kebanyakan ga diceritain sama influencer","[tapi, kalo, lu, kerja, dijepang, lu, harus, kerja, di, sana, sampai, seumuran, hidup, lu, bahkan, sampai, punya, anak, istri, lu, bakal, susah, berhenti, kerja, di, jepang, kecuali, pensiun, itu, sisi, gelap, yang, kebanyakan, ga, diceritain, sama, influencer]","[kalo, kerja, dijepang, kerja, sana, seumuran, hidup, bahkan, punya, anak, istri, bakal, susah, berhenti, kerja, jepang, pensiun, sisi, gelap, kebanyakan, diceritain, sama, influencer]",kalo kerja dijepang kerja sana umur hidup bahkan punya anak istri bakal susah henti kerja jepang pensiun sisi gelap banyak diceritain sama influencer,,,,0,0,0
emang pindah kewarganegaraan? bukannya cuma kerja di luar negeri doang ya?,"[emang, pindah, kewarganegaraan, bukannya, cuma, kerja, di, luar, negeri, doang, ya]","[emang, pindah, kewarganegaraan, bukannya, cuma, kerja, luar, negeri, doang]",emang pindah kewarganegaraan bukan cuma kerja luar negeri doang,,,,0,0,0
"padahal #kaburajadulu kan pernah dilakukan Prabowo ke Yordania, gak nasioanalis kan beliau?","[padahal, kan, pernah, dilakukan, prabowo, ke, yordania, gak, nasioanalis, kan, beliau]","[padahal, pernah, dilakukan, prabowo, yordania, nasioanalis, beliau]",padahal pernah laku prabowo yordania nasioanalis beliau,,,#kaburajadulu,0,0,1
"#kaburajadulu
kira-kira kalian mau kabur sampai mana?
selagi ada duit gk masalah, selagi gk ada duit itu jadi masalah nya","[kira, kira, kalian, mau, kabur, sampai, mana, selagi, ada, duit, gk, masalah, selagi, gk, ada, duit, itu, jadi, masalah, nya]","[kira, kira, kalian, mau, kabur, mana, duit, gk, masalah, gk, ada, duit, masalah]",kira kira kalian mau kabur mana duit gk masalah gk ada duit masalah,,,#kaburajadulu,0,0,1
#dirumahaja,[],[],,,,#dirumahaja,0,0,1
"bismillah dapet rezeki lebih buat ke Jepang, semangat buat kalian juga!","[bismillah, dapet, rezeki, lebih, buat, ke, jepang, semangat, buat, kalian, juga]","[bismillah, dapet, rezeki, lebih, buat, jepang, semangat, buat, kalian]",bismillah dapet rezeki lebih buat jepang semangat buat kalian,,,,0,0,0
tinggi minimal😭,"[tinggi, minimal]","[tinggi, minimal]",tinggi minimal,😭,,,1,0,0
Pengen ke rusia tapi gak bisa bahasa rusia,"[pengen, ke, rusia, tapi, gak, bisa, bahasa, rusia]","[pengen, rusia, bahasa, rusia]",ken rusia bahasa rusia,,,,0,0,0
yang penting uang nyaaa guysss😩😩,"[yang, penting, uang, nyaaa, guysss]","[penting, uang, nyaaa, guysss]",penting uang nyaaa guysss,😩😩,,,2,0,0
udah pindah bekasi be sini,"[udah, pindah, bekasi, be, sini]","[pindah, bekasi, be, sini]",pindah bekas be sini,,,,0,0,0
masalah nya GK bisa bahasa nyaa😭,"[masalah, nya, gk, bisa, bahasa, nyaa]","[masalah, gk, bahasa, nyaa]",masalah gk bahasa nyaa,😭,,,1,0,0
kabur ke jepang🗿,"[kabur, ke, jepang]","[kabur, jepang]",kabur jepang,🗿,,,1,0,0
"bismillah tahun depannn rusiaa or denmarkk
#kaburajaduluu ✋😹🤚","[bismillah, tahun, depannn, rusiaa, or, denmarkk]","[bismillah, tahun, depannn, rusiaa, or, denmarkk]",bismillah tahun depannn rusiaa or denmarkk,✋😹🤚,,#kaburajaduluu,3,0,1
ramalan the Simpsons peta Indonesia 💀💀,"[ramalan, the, simpsons, peta, indonesia]","[ramalan, the, simpsons, peta, indonesia]",ramal the simpsons peta indonesia,💀💀,,,2,0,0
dpr from Malaysia 🥰🥰🥰,"[dpr, from, malaysia]","[dpr, from, malaysia]",dpr from malaysia,🥰🥰🥰,,,3,0,0
ke Malaysia yok lebih gampang,"[ke, malaysia, yok, lebih, gampang]","[malaysia, yok, lebih, gampang]",malaysia yok lebih gampang,,,,0,0,0
gaji 3 juta syarat beribu menyala negeri ku,"[gaji, juta, syarat, beribu, menyala, negeri, ku]","[gaji, juta, syarat, beribu, menyala, negeri, ku]",gaji juta syarat ibu nyala negeri ku,,,,0,0,0
bismillah Australia 2025 ini setelah lebaran Amin Yrb ya Allah,"[bismillah, australia, ini, setelah, lebaran, amin, yrb, ya, allah]","[bismillah, australia, setelah, lebaran, amin, yrb, allah]",bismillah australia telah lebaran amin yrb allah,,,,0,0,0
"""muak aku""","[muak, aku]","[muak, aku]",muak aku,,,,0,0,0
kerja di negara sendiri emang sesusah itu cuy udah gaji kecil 😂,"[kerja, di, negara, sendiri, emang, sesusah, itu, cuy, udah, gaji, kecil]","[kerja, negara, sendiri, emang, sesusah, cuy, gaji, kecil]",kerja negara sendiri emang susah cuy gaji kecil,😂,,,1,0,0
#kaburajadulu ke jepang🗿,"[ke, jepang]",[jepang],jepang,🗿,,#kaburajadulu,1,0,1
apakah fakta the simpshon emng bener ya indo ilang 🗿🗿,"[apakah, fakta, the, simpshon, emng, bener, ya, indo, ilang]","[fakta, the, simpshon, emng, bener, indo, ilang]",fakta the simpshon emng bener indo ilang,🗿🗿,,,2,0,0
aku mau kerja di jepang,"[aku, mau, kerja, di, jepang]","[aku, mau, kerja, jepang]",aku mau kerja jepang,,,,0,0,0
"diindo banyak syarat ini itu lalu gaji jg kecil, sedihhh Akuuu😑😑😑🥺","[diindo, banyak, syarat, ini, itu, lalu, gaji, jg, kecil, sedihhh, akuuu]","[diindo, banyak, syarat, itu, lalu, gaji, jg, kecil, sedihhh, akuuu]",diindo banyak syarat itu lalu gaji jg kecil sedihhh akuuu,😑😑😑🥺,,,4,0,0
"bang/kak, mau nanya
saya sekarang lgi kerja di luar negri, batin sama pikiran kesiksa pengen sama adik trs, mending pulang/lanjut maju terus?","[bang, kak, mau, nanya, saya, sekarang, lgi, kerja, di, luar, negri, batin, sama, pikiran, kesiksa, pengen, sama, adik, trs, mending, pulang, lanjut, maju, terus]","[bang, kak, mau, nanya, sekarang, lgi, kerja, luar, negri, batin, sama, pikiran, kesiksa, pengen, sama, adik, trs, mending, pulang, lanjut, maju, terus]",bang kak mau nanya sekarang lgi kerja luar negri batin sama pikir siksa ken sama adik trs mending pulang lanjut maju terus,,,,0,0,0
pengen pindah negara Weh tapi kagak ada duit😭💔💔,"[pengen, pindah, negara, weh, tapi, kagak, ada, duit]","[pengen, pindah, negara, weh, kagak, duit]",ken pindah negara weh kagak duit,😭💔💔,,,3,0,0
cape banged yaAllah,"[cape, banged, yaallah]","[cape, banged, yaallah]",cape banged yaallah,,,,0,0,0
prediksi the Simpsons is rill kah? apakah ini yg di maksud,"[prediksi, the, simpsons, is, rill, kah, apakah, ini, yg, di, maksud]","[prediksi, the, simpsons, is, rill, apakah, maksud]",prediksi the simpsons is rill apakah maksud,,,,0,0,0
"guw masih stuck di indo,mana takutnya kerja diluar ngeri kaga bisa bhsa inggris😂","[guw, masih, stuck, di, indo, mana, takutnya, kerja, diluar, ngeri, kaga, bisa, bhsa, inggris]","[guw, stuck, indo, mana, takutnya, kerja, diluar, ngeri, kaga, bhsa, inggris]",guw stuck indo mana takut kerja luar ngeri kaga bhsa inggris,😂,,,1,0,0
#kaburajadulu ke jepang🗿🗿🗿🗿🗿,"[ke, jepang]",[jepang],jepang,🗿🗿🗿🗿🗿,,#kaburajadulu,5,0,1
"dulu #dirumah aja
sekarang #kaburajadulu","[dulu, aja, sekarang]","[dulu, sekarang]",dulu sekarang,,,"#dirumah, #kaburajadulu",0,0,2
"Berangkt lah, korea gass","[berangkt, lah, korea, gass]","[berangkt, lah, korea, gass]",berangkt lah korea gass,,,,0,0,0
iya bang mau masuk pabrik aja harus pake uang,"[iya, bang, mau, masuk, pabrik, aja, harus, pake, uang]","[bang, mau, masuk, pabrik, pake, uang]",bang mau masuk pabrik pake uang,,,,0,0,0
alasan gw untuk kuliah karena ingin pindah,"[alasan, gw, untuk, kuliah, karena, ingin, pindah]","[alasan, gw, kuliah, ingin, pindah]",alas gw kuliah ingin pindah,,,,0,0,0
"kerja di negeri org gampang,gak ceriwit,mudah langsung kerja,gak byk gaya","[kerja, di, negeri, org, gampang, gak, ceriwit, mudah, langsung, kerja, gak, byk, gaya]","[kerja, negeri, org, gampang, ceriwit, mudah, langsung, kerja, byk, gaya]",kerja negeri org gampang ceriwit mudah langsung kerja byk gaya,,,,0,0,0
"kerja serius
gaji bercanda 🔥","[kerja, serius, gaji, bercanda]","[kerja, serius, gaji, bercanda]",kerja serius gaji canda,🔥,,,1,0,0
kabur ke Korea Utara 🗿🗿,"[kabur, ke, korea, utara]","[kabur, korea, utara]",kabur korea utara,🗿🗿,,,2,0,0
kemarin oke gas sekarang mana nih gas 🗿,"[kemarin, oke, gas, sekarang, mana, nih, gas]","[kemarin, oke, gas, sekarang, mana, gas]",kemarin oke gas sekarang mana gas,🗿,,,1,0,0
ke amrik aja cuma bahasa Inggris kan😂,"[ke, amrik, aja, cuma, bahasa, inggris, kan]","[amrik, cuma, bahasa, inggris]",amrik cuma bahasa inggris,😂,,,1,0,0
Ayo kabur bareng,"[ayo, kabur, bareng]","[ayo, kabur, bareng]",ayo kabur bareng,,,,0,0,0
bukan masalah nasionalis tapi realistis terhadap keadaan,"[bukan, masalah, nasionalis, tapi, realistis, terhadap, keadaan]","[bukan, masalah, nasionalis, realistis, keadaan]",bukan masalah nasionalis realistis ada,,,,0,0,0
untung gw wibu,"[untung, gw, wibu]","[untung, gw, wibu]",untung gw wibu,,,,0,0,0
waduh aku udh kabur gimana nih😳,"[waduh, aku, udh, kabur, gimana, nih]","[waduh, aku, kabur, gimana]",waduh aku kabur gimana,😳,,,1,0,0
"gw pengen njir tapi keluarga gw beda beda
gw🇯🇵
abang🇬🇧
kakak🇰🇷
adek 1🇹🇼
adek 2🇨🇳
adek 3🇩🇪","[gw, pengen, njir, tapi, keluarga, gw, beda, beda, gw, abang, kakak, adek, adek, adek]","[gw, pengen, njir, keluarga, gw, beda, beda, gw, abang, kakak, adek, adek, adek]",gw ken njir keluarga gw beda beda gw abang kakak adek adek adek,,,,0,0,0
"maaf,aku sedih bgt tkut masa depan ku hancur,dan kesalahan ku belum ku perbaiki,wktu untuk perbaiki cuma di waktu dewasa😭","[maaf, aku, sedih, bgt, tkut, masa, depan, ku, hancur, dan, kesalahan, ku, belum, ku, perbaiki, wktu, untuk, perbaiki, cuma, di, waktu, dewasa]","[maaf, aku, sedih, bgt, tkut, masa, depan, ku, hancur, kesalahan, ku, ku, perbaiki, wktu, perbaiki, cuma, waktu, dewasa]",maaf aku sedih bgt tkut masa depan ku hancur salah ku ku baik wktu baik cuma waktu dewasa,😭,,,1,0,0
tapi sumpah anjir nyari kerja si indo se susah itu kalo ga pake ord dalem 😔,"[tapi, sumpah, anjir, nyari, kerja, si, indo, se, susah, itu, kalo, ga, pake, ord, dalem]","[sumpah, anjir, nyari, kerja, si, indo, se, susah, kalo, pake, ord, dalem]",sumpah anjir nyari kerja si indo se susah kalo pake ord dalem,😔,,,1,0,0
"aku mau ke jepang, mau kerja sambil pergi ke event anime di sana😋","[aku, mau, ke, jepang, mau, kerja, sambil, pergi, ke, event, anime, di, sana]","[aku, mau, jepang, mau, kerja, pergi, event, anime, sana]",aku mau jepang mau kerja pergi event anime sana,😋,,,1,0,0
pengen kabur ke Jepang 😭,"[pengen, kabur, ke, jepang]","[pengen, kabur, jepang]",ken kabur jepang,😭,,,1,0,0
gass kaburr aja dulu,"[gass, kaburr, aja, dulu]","[gass, kaburr, dulu]",gass kaburr dulu,,,,0,0,0
mau #kaburajadulu tapi gak punya uang😊,"[mau, tapi, gak, punya, uang]","[mau, punya, uang]",mau punya uang,😊,,#kaburajadulu,1,0,1
dari sekarang kita harus belajar bahasa jepang and inggris,"[dari, sekarang, kita, harus, belajar, bahasa, jepang, and, inggris]","[sekarang, harus, belajar, bahasa, jepang, and, inggris]",sekarang harus ajar bahasa jepang and inggris,,,,0,0,0
"ya mending kerja di luar sekalian sih, saingan di Indonesia itu banyak bat banyak tapi lowongan kerja dikit🗿, mending hidup gua tercukupi terlebih dahulu daripada jadi pengangguran🗿","[ya, mending, kerja, di, luar, sekalian, sih, saingan, di, indonesia, itu, banyak, bat, banyak, tapi, lowongan, kerja, dikit, mending, hidup, gua, tercukupi, terlebih, dahulu, daripada, jadi, pengangguran]","[mending, kerja, luar, sekalian, saingan, indonesia, banyak, bat, banyak, lowongan, kerja, dikit, mending, hidup, tercukupi, terlebih, daripada, pengangguran]",mending kerja luar sekali saing indonesia banyak bat banyak lowong kerja dikit mending hidup cukup lebih daripada anggur,🗿🗿,,,2,0,0
"suami sepupu aku dulu kerja di Korea,pulang 2 tahun sekali.. setelah 10 tahun kerja pulang,udah punya tanah,Empang, buat usaha untuk istrinya dan membuka lapangan kerja.","[suami, sepupu, aku, dulu, kerja, di, korea, pulang, tahun, sekali, setelah, tahun, kerja, pulang, udah, punya, tanah, empang, buat, usaha, untuk, istrinya, dan, membuka, lapangan, kerja]","[suami, sepupu, aku, dulu, kerja, korea, pulang, tahun, sekali, tahun, kerja, pulang, punya, tanah, empang, buat, usaha, istrinya, membuka, lapangan, kerja]",suami sepupu aku dulu kerja korea pulang tahun sekali tahun kerja pulang punya tanah empang buat usaha istri buka lapang kerja,,,,0,0,0
"kalo kerja ke Jepang itu gak perlu menguasai elemen api ,air , tanah,bisa menghidupkan org mati, berpenampilan seperti spiderman, gak perlu s1, s2, es teler 🗿","[kalo, kerja, ke, jepang, itu, gak, perlu, menguasai, elemen, api, air, tanah, bisa, menghidupkan, org, mati, berpenampilan, seperti, spiderman, gak, perlu, s, s, es, teler]","[kalo, kerja, jepang, perlu, menguasai, elemen, api, air, tanah, menghidupkan, org, mati, berpenampilan, spiderman, perlu, s, s, es, teler]",kalo kerja jepang perlu kuasa elemen api air tanah hidup org mati tampil spiderman perlu s s es teler,🗿,,,1,0,0
dipaksa sehat di negara yang sakit🥀,"[dipaksa, sehat, di, negara, yang, sakit]","[dipaksa, sehat, negara, sakit]",paksa sehat negara sakit,🥀,,,1,0,0
"2020
#dirumahaja
2025
#kaburajadulu
2045
#????",[],[],,,,"#dirumahaja, #kaburajadulu",0,0,2
#kaburajadulu,[],[],,,,#kaburajadulu,0,0,1
kabur aja dulu ke Colombia/Mexico jadi kurir🗿,"[kabur, aja, dulu, ke, colombia, mexico, jadi, kurir]","[kabur, dulu, colombia, mexico, kurir]",kabur dulu colombia mexico kurir,🗿,,,1,0,0
andai punya uang,"[andai, punya, uang]","[andai, punya, uang]",andai punya uang,,,,0,0,0
nabung sehari 50k kira2 berapa bulan ya ke 50jt,"[nabung, sehari, k, kira, berapa, bulan, ya, ke, jt]","[nabung, sehari, k, kira, berapa, bulan, ke, jt]",nabung hari k kira berapa bulan ke jt,,,,0,0,0
pengen ke luar negeri tapi masalahhnya gk ada cuan😭😭,"[pengen, ke, luar, negeri, tapi, masalahhnya, gk, ada, cuan]","[pengen, luar, negeri, masalahhnya, gk, cuan]",ken luar negeri masalahhnya gk cuan,😭😭,,,2,0,0
"mau kabur juga, tpi nggak punya biaya","[mau, kabur, juga, tpi, nggak, punya, biaya]","[mau, kabur, tpi, punya, biaya]",mau kabur tpi punya biaya,,,,0,0,0
dipaksa sehat di negara yang sakit🥀,"[dipaksa, sehat, di, negara, yang, sakit]","[dipaksa, sehat, negara, sakit]",paksa sehat negara sakit,🥀,,,1,0,0
pingin sy ke jepang,"[pingin, sy, ke, jepang]","[pingin, sy, jepang]",pingin sy jepang,,,,0,0,0
kan bisa ke luar negeri tanpa jadi warga negara tetap.,"[kan, bisa, ke, luar, negeri, tanpa, jadi, warga, negara, tetap]","[ke, luar, negeri, warga, negara, tetap]",ke luar negeri warga negara tetap,,,,0,0,0
kabur ke korea,"[kabur, ke, korea]","[kabur, korea]",kabur korea,,,,0,0,0
kabur aja dulu,"[kabur, aja, dulu]","[kabur, dulu]",kabur dulu,,,,0,0,0
apa perjuangan pahlawan² Indonesia sia²😭,"[apa, perjuangan, pahlawan², indonesia, sia²]","[apa, perjuangan, pahlawan², indonesia, sia²]",apa juang pahlawan indonesia sia,😭,,,1,0,0
"gua aja gak kerja""""😁","[gua, aja, gak, kerja]",[kerja],kerja,😁,,,1,0,0
doain aja dulu tahun 2030 biar ikut trend #kaburajadulu,"[doain, aja, dulu, tahun, biar, ikut, trend]","[doain, dulu, tahun, biar, ikut, trend]",doain dulu tahun biar ikut trend,,,#kaburajadulu,0,0,1
#kaburajadulu ke jepang🤗🤗🤗🤗,"[ke, jepang]",[jepang],jepang,🤗🤗🤗🤗,,#kaburajadulu,4,0,1
kesingapore mau ga?,"[kesingapore, mau, ga]","[kesingapore, mau]",kesingapore mau,,,,0,0,0
"di indonesia msuk krja , surat nya
1. Surat kesehatan
2. Surat catatan kepolisian
3. Tinggi badan
4. Surat pengalaman
5. pendidikan / Ijasah
6. dll","[di, indonesia, msuk, krja, surat, nya, surat, kesehatan, surat, catatan, kepolisian, tinggi, badan, surat, pengalaman, pendidikan, ijasah, dll]","[indonesia, msuk, krja, surat, surat, kesehatan, surat, catatan, kepolisian, tinggi, badan, surat, pengalaman, pendidikan, ijasah]",indonesia msuk krja surat surat sehat surat catat polisi tinggi badan surat alam didik ijasah,,,,0,0,0
klo udah ada izin dri nyokap langsung dftar juga inj😭🤙,"[klo, udah, ada, izin, dri, nyokap, langsung, dftar, juga, inj]","[klo, izin, dri, nyokap, langsung, dftar, inj]",klo izin dri nyokap langsung dftar inj,😭🤙,,,2,0,0
