"text","extracted_text","cleaned_text","normalized_text","tokens_no_stopwords_and_stemmed","tokens_no_stopwords_and_stemmed_formatted","processed","likes","reply_count","created_time_formatted","is_pinned","is_reply","user_verified","comment_language","sentiment_label"
"QuinJUlia’s comment: emang bahlil nasionalisme??
gas elpiji buat rakyat miskin aja masih mau di....😂😂😂😂 .
duhh.. ampun deh","emang bahlil nasionalisme??
gas elpiji buat rakyat miskin aja masih mau di....😂😂😂😂 .
duhh.. ampun deh","emang bahlil nasionalisme gas elpiji buat rakyat miskin aja masih mau di duhh ampun deh","memang bahlil nasionalisme gas elpiji buat rakyat miskin aja masih mau di duhh ampun deh","['bahlil', 'nasionalisme', 'gas', 'elpiji', 'rakyat', 'miskin', 'aja', 'duhh', 'ampun']","[bahlil, nasionalisme, gas, elpiji, rakyat, miskin, aja, duhh, ampun]","bahlil nasionalisme gas elpiji rakyat miskin aja duhh ampun","0","0","2025-02-16 05:04:29","False","True","False","id","positif"
"@asriisr @saturn's wkkwkwwkkw","@asriisr @saturn's wkkwkwwkkw","s wkkwkwwkkw","s wkkwkwwkkw","['wkkwkwwkkw']","[wkkwkwwkkw]","wkkwkwwkkw","1","1","2025-02-12 11:29:43","False","True","False","id","netral"
"konzz’s comment: kalo negara kita kayak amerika, baru nasionalisme nya tinggi🤣","kalo negara kita kayak amerika, baru nasionalisme nya tinggi🤣","kalo negara kita kayak amerika baru nasionalisme nya tinggi","kalau negara kita kayak amerika baru nasionalisme nya tinggi","['negara', 'kayak', 'amerika', 'nasionalisme']","[negara, kayak, amerika, nasionalisme]","negara kayak amerika nasionalisme","3","0","2025-02-14 10:16:15","False","True","False","id","negatif"
"lapangan pekerjaan dikit +nyari spek dewa yang bisa segalanya umur dibawah 30 tahun 😏gimana ngga punyeng","lapangan pekerjaan dikit +nyari spek dewa yang bisa segalanya umur dibawah 30 tahun 😏gimana ngga punyeng","lapangan pekerjaan dikit nyari spek dewa yang bisa segalanya umur dibawah 30 tahun gimana ngga punyeng","lapangan pekerjaan dikit mencari spek dewa yang bisa segalanya umur dibawah 30 tahun bagaimana tidak punyeng","['lapang', 'kerja', 'dikit', 'cari', 'spek', 'dewa', 'umur', 'bawah', 'punyeng']","[lapang, kerja, dikit, cari, spek, dewa, umur, bawah, punyeng]","lapang kerja dikit cari spek dewa umur bawah punyeng","0","1","2025-02-19 16:47:10","False","True","False","id","negatif"
"helo,,,nd’s comment: mereka rasional kalo di negeri orang gampang cari kerja ya kabur aja dulu","mereka rasional kalo di negeri orang gampang cari kerja ya kabur aja dulu","mereka rasional kalo di negeri orang gampang cari kerja ya kabur aja dulu","mereka rasional kalau di negeri orang gampang cari kerja ya kabur aja dulu","['rasional', 'negeri', 'orang', 'gampang', 'cari', 'kerja', 'kabur', 'aja']","[rasional, negeri, orang, gampang, cari, kerja, kabur, aja]","rasional negeri orang gampang cari kerja kabur aja","0","0","2025-02-17 12:45:19","False","True","False","id","positif"
"Orang asing omalah lebih di hargai di negara kitaaa 😂😅","Orang asing omalah lebih di hargai di negara kitaaa 😂😅","orang asing omalah lebih di hargai di negara kitaaa","orang asing omalah lebih di hargai di negara kita","['orang', 'asing', 'oma', 'harga', 'negara']","[orang, asing, oma, harga, negara]","orang asing oma harga negara","2","0","2025-02-12 02:09:28","False","True","False","id","negatif"
"didibungsu’s comment: harus nya mikir pak jgn di buat rakyat Indonesia dah bayak muskin malah tambah susah","harus nya mikir pak jgn di buat rakyat Indonesia dah bayak muskin malah tambah susah","harus nya mikir pak jgn di buat rakyat indonesia dah bayak muskin malah tambah susah","harus nya mikir pak jgn di buat rakyat indonesia dah bayak muskin malah tambah susah","['mikir', 'jgn', 'rakyat', 'indonesia', 'dah', 'bayak', 'muskin', 'susah']","[mikir, jgn, rakyat, indonesia, dah, bayak, muskin, susah]","mikir jgn rakyat indonesia dah bayak muskin susah","0","0","2025-02-16 15:30:49","False","True","False","id","negatif"
"pindah negara, lupain masa lalu, buka hidup baru, cari temen baru, bahagiain keluarga, sukses, itulah impian ku","pindah negara, lupain masa lalu, buka hidup baru, cari temen baru, bahagiain keluarga, sukses, itulah impian ku","pindah negara lupain masa lalu buka hidup baru cari temen baru bahagiain keluarga sukses itulah impian ku","pindah negara lupain masa lalu buka hidup baru cari temen baru bahagiain keluarga sukses itulah impian saya","['pindah', 'negara', 'lupain', 'buka', 'hidup', 'cari', 'temen', 'bahagiain', 'keluarga', 'sukses', 'impi']","[pindah, negara, lupain, buka, hidup, cari, temen, bahagiain, keluarga, sukses, impi]","pindah negara lupain buka hidup cari temen bahagiain keluarga sukses impi","0","0","2025-02-13 04:56:59","False","True","False","id","positif"
"Juraganlaut51’s comment: cari kerja susah di dalam negri sendiri, utk gaji UMR pun banyak persyaratan, apalagi kalau ga ada ORDAL 😂","cari kerja susah di dalam negri sendiri, utk gaji UMR pun banyak persyaratan, apalagi kalau ga ada ORDAL 😂","cari kerja susah di dalam negri sendiri utk gaji umr pun banyak persyaratan apalagi kalau ga ada ordal","cari kerja susah di dalam negri sendiri untuk gaji umr pun banyak persyaratan apalagi kalau tidak ada ordal","['cari', 'kerja', 'susah', 'negri', 'gaji', 'umr', 'syarat', 'ordal']","[cari, kerja, susah, negri, gaji, umr, syarat, ordal]","cari kerja susah negri gaji umr syarat ordal","2","0","2025-02-12 22:48:15","False","True","False","id","negatif"
"san🥴’s comment: aku sih baru mau kabur, s1 sudah berdebu😅","aku sih baru mau kabur, s1 sudah berdebu😅","aku sih baru mau kabur s1 sudah berdebu","saya sih baru mau kabur s1 sudah berdebu","['kabur', 'debu']","[kabur, debu]","kabur debu","0","0","2025-02-14 14:58:56","False","True","False","id","positif"
"Hadisah Nurhisa’s comment: segimanapun buka loker atau kasih info loker susah kak klo ga orang dalem ya bayar :) contoh kaya ke pabrik2 besar aja harus bayar loh ...Kaka mungkin enak ada kerja ..kita usaha2 susah pyh hrs bys","segimanapun buka loker atau kasih info loker susah kak klo ga orang dalem ya bayar :) contoh kaya ke pabrik2 besar aja harus bayar loh ...Kaka mungkin enak ada kerja ..kita usaha2 susah pyh hrs bys","segimanapun buka loker atau kasih info loker susah kak klo ga orang dalem ya bayar contoh kaya ke pabrik2 besar aja harus bayar loh kaka mungkin enak ada kerja kita usaha2 susah pyh hrs bys","segimanapun buka loker atau kasih info loker susah kak kalau tidak orang dalem ya bayar contoh kaya ke pabrik2 besar aja harus bayar loh kaka mungkin enak ada kerja kita usaha2 susah pyh hrs bys","['segimanapun', 'buka', 'loker', 'kasih', 'info', 'loker', 'susah', 'kak', 'orang', 'dalem', 'bayar', 'contoh', 'kaya', 'aja', 'bayar', 'loh', 'kaka', 'enak', 'kerja', 'susah', 'pyh', 'hrs', 'bys']","[segimanapun, buka, loker, kasih, info, loker, susah, kak, orang, dalem, bayar, contoh, kaya, aja, bayar, loh, kaka, enak, kerja, susah, pyh, hrs, bys]","segimanapun buka loker kasih info loker susah kak orang dalem bayar contoh kaya aja bayar loh kaka enak kerja susah pyh hrs bys","0","0","2025-02-16 16:32:30","False","True","False","id","negatif"
"Anda meragukan nasionalisme saya, saya meragukan kebijakan anda, serta hukum yang ada di indonesia.🗿","Anda meragukan nasionalisme saya, saya meragukan kebijakan anda, serta hukum yang ada di indonesia.🗿","anda meragukan nasionalisme saya saya meragukan kebijakan anda serta hukum yang ada di indonesia","anda meragukan nasionalisme saya saya meragukan kebijakan anda serta hukum yang ada di indonesia","['ragu', 'nasionalisme', 'ragu', 'bijak', 'hukum', 'indonesia']","[ragu, nasionalisme, ragu, bijak, hukum, indonesia]","ragu nasionalisme ragu bijak hukum indonesia","1","0","2025-02-12 12:23:59","False","True","False","id","negatif"
"rakyat malah meragukan kompetensi elo sbg menteri 🤣🤣🤣","rakyat malah meragukan kompetensi elo sbg menteri 🤣🤣🤣","rakyat malah meragukan kompetensi elo sbg menteri","rakyat malah meragukan kompetensi elo sbg menteri","['rakyat', 'ragu', 'kompetensi', 'elo', 'sbg', 'menteri']","[rakyat, ragu, kompetensi, elo, sbg, menteri]","rakyat ragu kompetensi elo sbg menteri","0","0","2025-02-21 10:18:43","False","True","False","id","negatif"
"falxyz | SWWUPIE’s comment: kaburajadulu 🗿","kaburajadulu 🗿","kaburajadulu","kaburajadulu","['kaburajadulu']","[kaburajadulu]","kaburajadulu","0","0","2025-02-16 03:05:25","False","True","False","id","positif"
"jangan menyalahkan masyarakat tp rubah lah sistem kapitalisme yg di buat oligarki @gerindra @Erick Thohir
tolong ubah dr syarat lowongan kerja yg dibuat oleh @alfamartku @indomaretofficial dll ... yg maximal umur 23-24th sedangkan umur diatas 24+ th banyak yg nganggur dan akhirnya mereka kerja diluar dan pindah warga negara ..","jangan menyalahkan masyarakat tp rubah lah sistem kapitalisme yg di buat oligarki @gerindra @Erick Thohir
tolong ubah dr syarat lowongan kerja yg dibuat oleh @alfamartku @indomaretofficial dll ... yg maximal umur 23-24th sedangkan umur diatas 24+ th banyak yg nganggur dan akhirnya mereka kerja diluar dan pindah warga negara ..","jangan menyalahkan masyarakat tp rubah lah sistem kapitalisme yg di buat oligarki thohir tolong ubah dr syarat lowongan kerja yg dibuat oleh dll yg maximal umur 2324th sedangkan umur diatas 24 th banyak yg nganggur dan akhirnya mereka kerja diluar dan pindah warga negara","jangan menyalahkan masyarakat tp rubah lah sistem kapitalisme yang di buat oligarki thohir tolong ubah dari syarat lowongan kerja yang dibuat oleh dll yang maximal umur 2324th sedangkan umur diatas 24 tahun banyak yang nganggur dan akhirnya mereka kerja diluar dan pindah warga negara","['salah', 'masyarakat', 'tp', 'rubah', 'sistem', 'kapitalisme', 'oligarki', 'thohir', 'tolong', 'ubah', 'syarat', 'lowong', 'kerja', 'maximal', 'umur', 'umur', 'atas', 'nganggur', 'kerja', 'luar', 'pindah', 'warga', 'negara']","[salah, masyarakat, tp, rubah, sistem, kapitalisme, oligarki, thohir, tolong, ubah, syarat, lowong, kerja, maximal, umur, umur, atas, nganggur, kerja, luar, pindah, warga, negara]","salah masyarakat tp rubah sistem kapitalisme oligarki thohir tolong ubah syarat lowong kerja maximal umur umur atas nganggur kerja luar pindah warga negara","1","0","2025-02-12 16:23:09","False","True","False","id","negatif"
"KEN’s comment: buat kalian yg punya kapasitas buat pindah, segera pindahlah. diluar kalian lebih dihargai, kerjaan becanda gaji serius, disini kerjaan serius gaji becanda. nasionalis nmr sekian, realistis nmr satu.","buat kalian yg punya kapasitas buat pindah, segera pindahlah. diluar kalian lebih dihargai, kerjaan becanda gaji serius, disini kerjaan serius gaji becanda. nasionalis nmr sekian, realistis nmr satu.","buat kalian yg punya kapasitas buat pindah segera pindahlah diluar kalian lebih dihargai kerjaan becanda gaji serius disini kerjaan serius gaji becanda nasionalis nmr sekian realistis nmr satu","buat kalian yang punya kapasitas buat pindah segera pindahlah diluar kalian lebih dihargai kerjaan becanda gaji serius disini kerjaan serius gaji becanda nasionalis nmr sekian realistis nmr satu","['kapasitas', 'pindah', 'pindah', 'luar', 'harga', 'kerja', 'becanda', 'gaji', 'serius', 'kerja', 'serius', 'gaji', 'becanda', 'nasionalis', 'nmr', 'sekian', 'realistis', 'nmr']","[kapasitas, pindah, pindah, luar, harga, kerja, becanda, gaji, serius, kerja, serius, gaji, becanda, nasionalis, nmr, sekian, realistis, nmr]","kapasitas pindah pindah luar harga kerja becanda gaji serius kerja serius gaji becanda nasionalis nmr sekian realistis nmr","0","0","2025-02-18 04:23:34","False","True","False","id","positif"
"halah","halah","halah","halah","['halah']","[halah]","halah","0","0","2025-02-15 15:35:41","False","True","False","ms","netral"
"Hanin Dhya Almahyra’s comment: sy baru 27 pk dn persyaratan umur buat kerja maksimal 25😭😭😭","sy baru 27 pk dn persyaratan umur buat kerja maksimal 25😭😭😭","sy baru 27 pk dn persyaratan umur buat kerja maksimal 25","saya baru 27 pk dn persyaratan umur buat kerja maksimal 25","['pk', 'dn', 'syarat', 'umur', 'kerja', 'maksimal']","[pk, dn, syarat, umur, kerja, maksimal]","pk dn syarat umur kerja maksimal","1","0","2025-02-16 10:14:36","False","True","False","id","negatif"
"manarul th taufiq’s comment: ubur2 ikan lele walaupun cinta nasionalisme tapi klo cari kerja susah juga percuma lee","ubur2 ikan lele walaupun cinta nasionalisme tapi klo cari kerja susah juga percuma lee","ubur2 ikan lele walaupun cinta nasionalisme tapi klo cari kerja susah juga percuma lee","ubur2 ikan lele walaupun cinta nasionalisme tapi kalau cari kerja susah juga percuma lee","['ikan', 'lele', 'cinta', 'nasionalisme', 'cari', 'kerja', 'susah', 'lee']","[ikan, lele, cinta, nasionalisme, cari, kerja, susah, lee]","ikan lele cinta nasionalisme cari kerja susah lee","0","0","2025-02-14 13:37:34","False","True","False","id","positif"
"rey’s comment: jepangggg wait for me okeyy","jepangggg wait for me okeyy","jepangggg wait for me okeyy","jepang wait for me okeyy","['jepang', 'wait', 'for', 'me', 'okeyy']","[jepang, wait, for, me, okeyy]","jepang wait for me okeyy","1","0","2025-02-12 13:47:49","False","True","False","id","positif"
"anda meragukan nasionalisme tapi tidak meragukan para tikus tikus kantor 🗿","anda meragukan nasionalisme tapi tidak meragukan para tikus tikus kantor 🗿","anda meragukan nasionalisme tapi tidak meragukan para tikus tikus kantor","anda meragukan nasionalisme tapi tidak meragukan para tikus tikus kantor","['ragu', 'nasionalisme', 'ragu', 'tikus', 'tikus', 'kantor']","[ragu, nasionalisme, ragu, tikus, tikus, kantor]","ragu nasionalisme ragu tikus tikus kantor","1","0","2025-02-16 08:42:59","False","True","False","id","negatif"
"Jon212’s comment: bukan masalah nasionalismenya bpk,ini soal perut,dan masa depan kami,yg kian hari semakin parah di rumah sendiri,","bukan masalah nasionalismenya bpk,ini soal perut,dan masa depan kami,yg kian hari semakin parah di rumah sendiri,","bukan masalah nasionalismenya bpkini soal perutdan masa depan kamiyg kian hari semakin parah di rumah sendiri","bukan masalah nasionalismenya bpkini soal perutdan masa depan kamiyg kian hari semakin parah di rumah sendiri","['nasionalisme', 'bpkini', 'perutdan', 'kamiyg', 'kian', 'parah', 'rumah']","[nasionalisme, bpkini, perutdan, kamiyg, kian, parah, rumah]","nasionalisme bpkini perutdan kamiyg kian parah rumah","1","0","2025-02-17 04:06:52","False","True","False","id","negatif"
"dn faktanya.tdk adil bagi seluruh rakyat Indonesia.","dn faktanya.tdk adil bagi seluruh rakyat Indonesia.","dn faktanyatdk adil bagi seluruh rakyat indonesia","dn faktanyatdk adil bagi seluruh rakyat indonesia","['dn', 'faktanyatdk', 'adil', 'rakyat', 'indonesia']","[dn, faktanyatdk, adil, rakyat, indonesia]","dn faktanyatdk adil rakyat indonesia","0","0","2025-02-17 08:16:36","False","True","False","id","negatif"
"Moon 🌙’s comment: Kerja 14 jam gaji 1,5 jt anjiiiiirrrrr","Kerja 14 jam gaji 1,5 jt anjiiiiirrrrr","kerja 14 jam gaji 15 jt anjiiiiirrrrr","kerja 14 jam gaji 15 juta anjir","['kerja', 'gaji', 'juta', 'anjir']","[kerja, gaji, juta, anjir]","kerja gaji juta anjir","0","0","2025-02-20 08:28:38","False","True","False","id","negatif"
"iounil’s comment: Indonesia harga mati🙏🥺, setidaknya aku lahir di indonesia, besar di indonesia, dan hasil pendidikan indonesia. Pun keluarga saya di indonesia. Salam #babuaustralia🙏","Indonesia harga mati🙏🥺, setidaknya aku lahir di indonesia, besar di indonesia, dan hasil pendidikan indonesia. Pun keluarga saya di indonesia. Salam #babuaustralia🙏","indonesia harga mati setidaknya aku lahir di indonesia besar di indonesia dan hasil pendidikan indonesia pun keluarga saya di indonesia salam","indonesia harga mati setidaknya saya lahir di indonesia besar di indonesia dan hasil pendidikan indonesia pun keluarga saya di indonesia salam","['indonesia', 'harga', 'mati', 'lahir', 'indonesia', 'indonesia', 'hasil', 'didik', 'indonesia', 'keluarga', 'indonesia', 'salam']","[indonesia, harga, mati, lahir, indonesia, indonesia, hasil, didik, indonesia, keluarga, indonesia, salam]","indonesia harga mati lahir indonesia indonesia hasil didik indonesia keluarga indonesia salam","1","0","2025-02-12 10:17:58","False","True","False","id","positif"
"-𝚝𝚢𝚊𝚗𝚗𝚘’s comment: tutor kaburnya gimana?","tutor kaburnya gimana?","tutor kaburnya gimana","tutor kaburnya bagaimana","['tutor', 'kabur']","[tutor, kabur]","tutor kabur","0","0","2025-02-18 02:25:28","False","True","False","id","netral"
"Leo💕’s comment: Insyaallah","Insyaallah","insyaallah","insyaallah","['insyaallah']","[insyaallah]","insyaallah","0","0","2025-02-11 13:34:18","False","True","False","ms","positif"
"kalo smua kabur, sapa yg mau di palak dg dalih pajak.","kalo smua kabur, sapa yg mau di palak dg dalih pajak.","kalo smua kabur sapa yg mau di palak dg dalih pajak","kalau smua kabur sapa yang mau di palak dg dalih pajak","['smua', 'kabur', 'sapa', 'palak', 'dg', 'dalih', 'pajak']","[smua, kabur, sapa, palak, dg, dalih, pajak]","smua kabur sapa palak dg dalih pajak","0","0","2025-02-16 09:00:10","False","True","False","id","negatif"
"Ge_Em-Te’s comment: Gampang mengatasi Mereka yang kabur keluar negeri , tinggal cekal Visa mereka dan jangan mau perpanjang , dan sita seluruh harta mereka yg kabur keluar negeri untuk negara! simple dan mudah 🙏🙏🙏","Gampang mengatasi Mereka yang kabur keluar negeri , tinggal cekal Visa mereka dan jangan mau perpanjang , dan sita seluruh harta mereka yg kabur keluar negeri untuk negara! simple dan mudah 🙏🙏🙏","gampang mengatasi mereka yang kabur keluar negeri tinggal cekal visa mereka dan jangan mau perpanjang dan sita seluruh harta mereka yg kabur keluar negeri untuk negara simple dan mudah","gampang mengatasi mereka yang kabur keluar negeri tinggal cekal visa mereka dan jangan mau perpanjang dan sita seluruh harta mereka yang kabur keluar negeri untuk negara simple dan mudah","['gampang', 'atas', 'kabur', 'negeri', 'tinggal', 'cekal', 'visa', 'panjang', 'sita', 'harta', 'kabur', 'negeri', 'negara', 'simple', 'mudah']","[gampang, atas, kabur, negeri, tinggal, cekal, visa, panjang, sita, harta, kabur, negeri, negara, simple, mudah]","gampang atas kabur negeri tinggal cekal visa panjang sita harta kabur negeri negara simple mudah","1","0","2025-02-13 01:34:49","False","True","False","id","negatif"
"Sy’s comment: Mantapp bang","Mantapp bang","mantapp bang","mantapp bang","['mantapp', 'bang']","[mantapp, bang]","mantapp bang","0","0","2025-02-19 15:34:08","False","True","False","id","netral"
"EL PUASA’s comment: setuju bang😂😂😂","setuju bang😂😂😂","setuju bang","setuju bang","['tuju', 'bang']","[tuju, bang]","tuju bang","0","0","2025-02-20 03:39:50","False","True","False","id","positif"
"JOJO’s comment: LAMA GA LAMA BANYAK WARGA INDONESIA PINDAH KELUAR NEGRI","LAMA GA LAMA BANYAK WARGA INDONESIA PINDAH KELUAR NEGRI","lama ga lama banyak warga indonesia pindah keluar negri","lama tidak lama banyak warga indonesia pindah keluar negri","['warga', 'indonesia', 'pindah', 'negri']","[warga, indonesia, pindah, negri]","warga indonesia pindah negri","0","0","2025-02-19 15:52:19","False","True","False","id","positif"
"sᴏᴍᴇᴏɴᴇ’s comment: stuju😂","stuju😂","stuju","stuju","['stuju']","[stuju]","stuju","0","0","2025-02-21 09:41:58","False","True","False","id","positif"
"Bocah Lawu’s comment: rencana #kaburajadulu
info dana talangan semarang kota","rencana #kaburajadulu
info dana talangan semarang kota","rencana info dana talangan semarang kota","rencana info dana talangan semarang kota","['rencana', 'info', 'dana', 'talang', 'semarang', 'kota']","[rencana, info, dana, talang, semarang, kota]","rencana info dana talang semarang kota","0","0","2025-02-16 15:52:53","False","True","False","id","positif"
"Yun’s comment: tetanggaku lulusan S2 cuma jadi guru honorer SD 😭","tetanggaku lulusan S2 cuma jadi guru honorer SD 😭","tetanggaku lulusan s2 cuma jadi guru honorer sd","tetanggaku lulusan s2 cuma jadi guru honorer sd","['tetangga', 'lulus', 'guru', 'honorer', 'sd']","[tetangga, lulus, guru, honorer, sd]","tetangga lulus guru honorer sd","0","0","2025-02-14 13:40:09","False","True","False","id","negatif"
"dyorama’s comment: Kalau duet w banyak w jg mo pindah","Kalau duet w banyak w jg mo pindah","kalau duet w banyak w jg mo pindah","kalau duet saya banyak saya jg mo pindah","['duet', 'jg', 'mo', 'pindah']","[duet, jg, mo, pindah]","duet jg mo pindah","3","1","2025-02-13 08:23:11","False","True","False","id","positif"
"Harry Hardelan’s comment: ngomong apa tu orang 😂😂🤭","ngomong apa tu orang 😂😂🤭","ngomong apa tu orang","ngomong apa itu orang","['ngomong', 'orang']","[ngomong, orang]","ngomong orang","0","0","2025-02-17 15:10:26","False","True","False","id","netral"
"Muliyati’s comment: gua suka gaya loo bang","gua suka gaya loo bang","gua suka gaya loo bang","saya suka gaya loo bang","['suka', 'gaya', 'loo', 'bang']","[suka, gaya, loo, bang]","suka gaya loo bang","0","0","2025-02-20 06:52:53","False","True","False","id","positif"
"kalo punya duit juga gua udh kabur","kalo punya duit juga gua udh kabur","kalo punya duit juga gua udh kabur","kalau punya duit juga saya sudah kabur","['duit', 'kabur']","[duit, kabur]","duit kabur","2","1","2025-02-14 12:47:08","False","True","False","id","positif"
"VAgold’s comment: Cita Cita terbaik Pindah Negara🤣","Cita Cita terbaik Pindah Negara🤣","cita cita terbaik pindah negara","cita cita terbaik pindah negara","['cita', 'cita', 'baik', 'pindah', 'negara']","[cita, cita, baik, pindah, negara]","cita cita baik pindah negara","2","0","2025-02-26 08:46:52","False","True","False","id","positif"
