"text","extracted_text","cleaned_text","normalized_text","tokens_no_stopwords_and_stemmed","processed","sentiment_label","likes","reply_count","created_time_formatted"
"Faisol Akbar’s comment: keadilan sosial bagi seluruh rakyat indonesia,bunyi sila ke 5,tapi nyatanya tidak adil","keadilan sosial bagi seluruh rakyat indonesia,bunyi sila ke 5,tapi nyatanya tidak adil","keadilan sosial bagi seluruh rakyat indonesiabunyi sila ke 5tapi nyatanya tidak adil","keadilan sosial bagi seluruh rakyat indonesiabunyi sila ke 5tapi nyatanya tidak adil","['adil', 'sosial', 'rakyat', 'indonesiabunyi', 'sila', 'adil']","adil sosial rakyat indonesiabunyi sila adil","negatif","0","0","2025-02-14 13:52:05"
"★ 𝙔 ★’s comment: knpa ya indo ngk maju""","knpa ya indo ngk maju""","knpa ya indo ngk maju","knpa ya indonesia ngk maju","['knpa', 'indonesia', 'ngk', 'maju']","knpa indonesia ngk maju","positif","0","0","2025-02-12 23:05:08"
"Dann’s comment: nasionalisme=umr","nasionalisme=umr","nasionalismeumr","nasionalismeumr","['nasionalismeumr']","nasionalismeumr","negatif","0","0","2025-02-15 22:12:35"
"bang jemput aku bang","bang jemput aku bang","bang jemput aku bang","bang jemput saya bang","['bang', 'jemput', 'bang']","bang jemput bang","negatif","0","0","2025-02-21 03:58:51"
"pixie.hollow🧿🫧’s comment: manifesting kak","manifesting kak","manifesting kak","manifesting kak","['manifesting', 'kak']","manifesting kak","positif","0","0","2025-02-11 07:54:23"
"wangiremaja’s comment: saya malah meragukan sistem kerja Indonesia","saya malah meragukan sistem kerja Indonesia","saya malah meragukan sistem kerja indonesia","saya malah meragukan sistem kerja indonesia","['ragu', 'sistem', 'kerja', 'indonesia']","ragu sistem kerja indonesia","negatif","2","0","2025-02-15 21:01:22"
"Cara Selamanya dikorea gitu gimana Cok, Gw belum tau soalnya mau kabur juga 🗿🗿","Cara Selamanya dikorea gitu gimana Cok, Gw belum tau soalnya mau kabur juga 🗿🗿","cara selamanya dikorea gitu gimana cok gw belum tau soalnya mau kabur juga","cara selamanya dikorea begitu bagaimana cok saya belum tau soalnya mau kabur juga","['dikorea', 'cok', 'tau', 'kabur']","dikorea cok tau kabur","positif","0","0","2025-02-19 06:54:53"
"user2508585448196’s comment: ini menteri bahlul seperti nasionalisme sendiri","ini menteri bahlul seperti nasionalisme sendiri","ini menteri bahlul seperti nasionalisme sendiri","ini menteri bahlul seperti nasionalisme sendiri","['menteri', 'bahlul', 'nasionalisme']","menteri bahlul nasionalisme","negatif","0","0","2025-02-16 07:45:32"
"Hieronimus Bw’s comment: orang-orang yang menggaungkan kabur aja dulu adalah 1 dari puluhan bahkan ratusan orang yang memang ketika merantau mendapatkan pencapaian yang tidak dia dapat di negeri sendiri. Ga segampang itu, banyak kendala nya, biaya, bahasa, budaya, aturan, keterampilan. kabur sih kabur, klo lu gada skill ya jadi gelandangan","orang-orang yang menggaungkan kabur aja dulu adalah 1 dari puluhan bahkan ratusan orang yang memang ketika merantau mendapatkan pencapaian yang tidak dia dapat di negeri sendiri. Ga segampang itu, banyak kendala nya, biaya, bahasa, budaya, aturan, keterampilan. kabur sih kabur, klo lu gada skill ya jadi gelandangan","orangorang yang menggaungkan kabur aja dulu adalah 1 dari puluhan bahkan ratusan orang yang memang ketika merantau mendapatkan pencapaian yang tidak dia dapat di negeri sendiri ga segampang itu banyak kendala nya biaya bahasa budaya aturan keterampilan kabur sih kabur klo lu gada skill ya jadi gelandangan","orangorang yang menggaungkan kabur aja dulu adalah 1 dari puluhan bahkan ratusan orang yang memang ketika merantau mendapatkan pencapaian yang tidak dia dapat di negeri sendiri tidak segampang itu banyak kendala nya biaya bahasa budaya aturan keterampilan kabur sih kabur kalau kamu gada skill ya jadi gelandangan","['orangorang', 'gaung', 'kabur', 'aja', 'puluh', 'ratus', 'orang', 'rantau', 'capai', 'negeri', 'gampang', 'kendala', 'biaya', 'bahasa', 'budaya', 'atur', 'terampil', 'kabur', 'kabur', 'gada', 'skill', 'gelandang']","orangorang gaung kabur aja puluh ratus orang rantau capai negeri gampang kendala biaya bahasa budaya atur terampil kabur kabur gada skill gelandang","positif","0","0","2025-02-14 11:36:37"
"tutityu’s comment: nasionalisme ga ngasih makan dan gaji juga 😭","nasionalisme ga ngasih makan dan gaji juga 😭","nasionalisme ga ngasih makan dan gaji juga","nasionalisme tidak ngasih makan dan gaji juga","['nasionalisme', 'ngasih', 'makan', 'gaji']","nasionalisme ngasih makan gaji","negatif","0","0","2025-02-14 19:48:00"
"enak hidup luar negri dr pada di Indonesia","enak hidup luar negri dr pada di Indonesia","enak hidup luar negri dr pada di indonesia","enak hidup luar negri dari pada di indonesia","['enak', 'hidup', 'negri', 'indonesia']","enak hidup negri indonesia","positif","0","0","2025-02-19 12:03:23"
"takut yh om uang negara tinggal dikit gara2 sdm nya pada kaburt😂😂😂😂","takut yh om uang negara tinggal dikit gara2 sdm nya pada kaburt😂😂😂😂","takut yh om uang negara tinggal dikit gara2 sdm nya pada kaburt","takut yh om uang negara tinggal dikit gara2 sdm nya pada kaburt","['takut', 'yh', 'om', 'uang', 'negara', 'tinggal', 'dikit', 'sdm', 'kaburt']","takut yh om uang negara tinggal dikit sdm kaburt","negatif","0","0","2025-02-20 06:09:56"
"_elendra’s comment: gw dl habis lulus SMA knp ga ke luar negri aja sih,, 32 thn di Indonesia ga punya apa² ,, temen gw 3 thn di luar udah punya rumah bagus😢","gw dl habis lulus SMA knp ga ke luar negri aja sih,, 32 thn di Indonesia ga punya apa² ,, temen gw 3 thn di luar udah punya rumah bagus😢","gw dl habis lulus sma knp ga ke luar negri aja sih 32 thn di indonesia ga punya apa² temen gw 3 thn di luar udah punya rumah bagus","saya dl habis lulus sma knp tidak ke luar negri aja sih 32 tahun di indonesia tidak punya apa² temen saya 3 tahun di luar sudah punya rumah bagus","['dl', 'habis', 'lulus', 'sma', 'knp', 'negri', 'aja', 'indonesia', 'temen', 'rumah', 'bagus']","dl habis lulus sma knp negri aja indonesia temen rumah bagus","positif","0","0","2025-02-18 01:02:39"
"Pengembara’s comment: lah di negri sendiri susah karena di bikin rumit 😏😏😏","lah di negri sendiri susah karena di bikin rumit 😏😏😏","lah di negri sendiri susah karena di bikin rumit","lah di negri sendiri susah karena di bikin rumit","['negri', 'susah', 'bikin', 'rumit']","negri susah bikin rumit","negatif","0","0","2025-02-19 08:57:22"
"Satoruu’s comment: iya co skrg gausa nasionalisme"" an negara sendiri aj gada peduli"" nya rakyat jelata, mana lagi kasus"" nya lebi ngedukung yg berduit jadi skrg gausa tinggiin nasionalisme jadi sukses aj di negara org","iya co skrg gausa nasionalisme"" an negara sendiri aj gada peduli"" nya rakyat jelata, mana lagi kasus"" nya lebi ngedukung yg berduit jadi skrg gausa tinggiin nasionalisme jadi sukses aj di negara org","iya co skrg gausa nasionalisme an negara sendiri aj gada peduli nya rakyat jelata mana lagi kasus nya lebi ngedukung yg berduit jadi skrg gausa tinggiin nasionalisme jadi sukses aj di negara org","iya co sekarang gausa nasionalisme an negara sendiri aj gada peduli nya rakyat jelata mana lagi kasus nya lebi ngedukung yang berduit jadi sekarang gausa tinggiin nasionalisme jadi sukses aj di negara orang","['iya', 'co', 'gausa', 'nasionalisme', 'an', 'negara', 'aj', 'gada', 'peduli', 'rakyat', 'jelata', 'lebi', 'ngedukung', 'duit', 'gausa', 'tinggiin', 'nasionalisme', 'sukses', 'aj', 'negara', 'orang']","iya co gausa nasionalisme an negara aj gada peduli rakyat jelata lebi ngedukung duit gausa tinggiin nasionalisme sukses aj negara orang","negatif","0","0","2025-02-23 02:50:08"
"nasionalis=pajak😅","nasionalis=pajak😅","nasionalispajak","nasionalispajak","['nasionalispajak']","nasionalispajak","netral","0","0","2025-02-14 22:45:07"
"キリスト教徒’s comment: telat seperkian menit gaji dipotong, lembur sampai berapa jam anggap aja ......
+ syarat kerja harus berpenampilan seperti pangeran dan ratu","telat seperkian menit gaji dipotong, lembur sampai berapa jam anggap aja ......
+ syarat kerja harus berpenampilan seperti pangeran dan ratu","telat seperkian menit gaji dipotong lembur sampai berapa jam anggap aja syarat kerja harus berpenampilan seperti pangeran dan ratu","telat seperkian menit gaji dipotong lembur sampai berapa jam anggap aja syarat kerja harus berpenampilan seperti pangeran dan ratu","['telat', 'kian', 'gaji', 'potong', 'lembur', 'anggap', 'aja', 'syarat', 'kerja', 'tampil', 'pangeran', 'ratu']","telat kian gaji potong lembur anggap aja syarat kerja tampil pangeran ratu","negatif","1","0","2025-02-15 09:35:29"
"kamukemaluankuhehe’s comment: setiap kali pulng ke kmpung selalu di tanya ama kakek: loh udah ga kerja lagi?
gua : ga kek aku mau nyoba lamar kerja di tempat lain
kakek : benar itu jangan diam di satu tempat selagi belum punya-","setiap kali pulng ke kmpung selalu di tanya ama kakek: loh udah ga kerja lagi?
gua : ga kek aku mau nyoba lamar kerja di tempat lain
kakek : benar itu jangan diam di satu tempat selagi belum punya-","setiap kali pulng ke kmpung selalu di tanya ama kakek loh udah ga kerja lagi gua ga kek aku mau nyoba lamar kerja di tempat lain kakek benar itu jangan diam di satu tempat selagi belum punya","setiap kali pulng ke kmpung selalu di tanya ama kakek loh sudah tidak kerja lagi saya tidak seperti saya mau nyoba lamar kerja di tempat lain kakek benar itu jangan diam di satu tempat selagi belum punya","['kali', 'pulng', 'kmpung', 'ama', 'kakek', 'loh', 'kerja', 'nyoba', 'lamar', 'kerja', 'kakek', 'diam', 'selagi']","kali pulng kmpung ama kakek loh kerja nyoba lamar kerja kakek diam selagi","negatif","1","2","2025-02-17 06:49:36"
"Kren bg","Kren bg","kren bg","keren bg","['keren', 'bg']","keren bg","negatif","0","0","2025-02-21 10:21:41"
"saya tau kenapa dia bilang kek gitu karna para pejabat ga bisa jalan jalan ke luar negri karna di batesi sama presiden kita wkwk😂😂","saya tau kenapa dia bilang kek gitu karna para pejabat ga bisa jalan jalan ke luar negri karna di batesi sama presiden kita wkwk😂😂","saya tau kenapa dia bilang kek gitu karna para pejabat ga bisa jalan jalan ke luar negri karna di batesi sama presiden kita wkwk","saya tau kenapa dia bilang seperti begitu karena para pejabat tidak bisa jalan jalan ke luar negri karena di batesi sama presiden kita wkwk","['tau', 'bilang', 'jabat', 'jalan', 'jalan', 'negri', 'batesi', 'presiden', 'wkwk']","tau bilang jabat jalan jalan negri batesi presiden wkwk","negatif","1","0","2025-02-12 15:04:02"
"Hahaha","Hahaha","hahaha","hahaha","['hahaha']","hahaha","netral","0","0","2025-02-15 16:54:40"
"Attarisk’s comment: tapi emang rata rata orang Indonesia kalo mau kabur tuh masih sekitaran area asia jadinya kalo ga ke jepang ya ke Singapore, tapi gw mau kabur ke Jerman biar dapet kerja nya gampang karna gaada syarat batasan usia dan berpenampilan menarik 😂","tapi emang rata rata orang Indonesia kalo mau kabur tuh masih sekitaran area asia jadinya kalo ga ke jepang ya ke Singapore, tapi gw mau kabur ke Jerman biar dapet kerja nya gampang karna gaada syarat batasan usia dan berpenampilan menarik 😂","tapi emang rata rata orang indonesia kalo mau kabur tuh masih sekitaran area asia jadinya kalo ga ke jepang ya ke singapore tapi gw mau kabur ke jerman biar dapet kerja nya gampang karna gaada syarat batasan usia dan berpenampilan menarik","tapi memang rata rata orang indonesia kalau mau kabur tuh masih sekitaran area asia jadinya kalau tidak ke jepang ya ke singapore tapi saya mau kabur ke jerman biar dapet kerja nya gampang karena gaada syarat batasan usia dan berpenampilan menarik","['orang', 'indonesia', 'kabur', 'sekitar', 'area', 'asia', 'jepang', 'singapore', 'kabur', 'jerman', 'biar', 'dapet', 'kerja', 'gampang', 'gaada', 'syarat', 'batas', 'usia', 'tampil', 'tarik']","orang indonesia kabur sekitar area asia jepang singapore kabur jerman biar dapet kerja gampang gaada syarat batas usia tampil tarik","positif","0","0","2025-02-17 08:32:08"
"bissmillah Belanda 🙏 #kaburajadulu","bissmillah Belanda 🙏 #kaburajadulu","bissmillah belanda","bissmillah belanda","['bissmillah', 'belanda']","bissmillah belanda","positif","0","0","2025-02-12 10:43:11"
"ke Belanda yuk","ke Belanda yuk","ke belanda yuk","ke belanda yuk","['belanda']","belanda","positif","0","0","2025-02-14 14:46:13"
"eunoia’s comment: hlo bangg","hlo bangg","hlo bangg","hlo bangg","['hlo', 'bangg']","hlo bangg","netral","0","0","2025-02-17 05:08:05"
"pngen krja d LN, tp klo ikut LPK kdu nunggu 1 th platihan....😩
barang kali ad rekomendasi....🙏🏻","pngen krja d LN, tp klo ikut LPK kdu nunggu 1 th platihan....😩
barang kali ad rekomendasi....🙏🏻","pngen krja d ln tp klo ikut lpk kdu nunggu 1 th platihan barang kali ad rekomendasi","pngen krja d ln tp kalau ikut lpk kdu nunggu 1 tahun platihan barang kali ad rekomendasi","['pngen', 'krja', 'ln', 'tp', 'lpk', 'kdu', 'nunggu', 'platihan', 'barang', 'kali', 'ad', 'rekomendasi']","pngen krja ln tp lpk kdu nunggu platihan barang kali ad rekomendasi","positif","1","0","2025-02-12 07:13:17"
"—Fàii💤’s comment: apalagi klo ke Jepang tinggal di pedesaan dapet duit lagi","apalagi klo ke Jepang tinggal di pedesaan dapet duit lagi","apalagi klo ke jepang tinggal di pedesaan dapet duit lagi","apalagi kalau ke jepang tinggal di pedesaan dapet duit lagi","['jepang', 'tinggal', 'desa', 'dapet', 'duit']","jepang tinggal desa dapet duit","positif","0","0","2025-02-17 11:08:11"
"𝐏. 𝐑𝐨𝐜𝐡𝐢𝐦𝐚𝐭’s comment: but the loc is ponorogo 😭","but the loc is ponorogo 😭","but the loc is ponorogo","but the loc is ponorogo","['but', 'the', 'loc', 'is', 'ponorogo']","but the loc is ponorogo","netral","0","0","2025-03-01 10:02:40"
"ini kode mesin’s comment: loh kan pencetus kabur aja dulu itu pak prabowo yang kabur ke jordania tahun 98","loh kan pencetus kabur aja dulu itu pak prabowo yang kabur ke jordania tahun 98","loh kan pencetus kabur aja dulu itu pak prabowo yang kabur ke jordania tahun 98","loh kan pencetus kabur aja dulu itu pak prabowo yang kabur ke jordania tahun 98","['loh', 'cetus', 'kabur', 'aja', 'prabowo', 'kabur', 'jordania']","loh cetus kabur aja prabowo kabur jordania","negatif","0","0","2025-02-14 13:20:49"
"aku pengen kabur tapi udah punya anak dan suami bang😳","aku pengen kabur tapi udah punya anak dan suami bang😳","aku pengen kabur tapi udah punya anak dan suami bang","saya ingin kabur tapi sudah punya anak dan suami bang","['kabur', 'anak', 'suami', 'bang']","kabur anak suami bang","positif","0","0","2025-02-18 10:37:55"
"Sadran Sadran’s comment: maaf bos Indonesia kebanyakan syarat nyari kerja gaji tidak sesuai pengeluaran makanya banyak orang orang banyak keluar negeri nyari kerje pendapatan masih. seimbang sama pengeluaran","maaf bos Indonesia kebanyakan syarat nyari kerja gaji tidak sesuai pengeluaran makanya banyak orang orang banyak keluar negeri nyari kerje pendapatan masih. seimbang sama pengeluaran","maaf bos indonesia kebanyakan syarat nyari kerja gaji tidak sesuai pengeluaran makanya banyak orang orang banyak keluar negeri nyari kerje pendapatan masih seimbang sama pengeluaran","maaf bos indonesia kebanyakan syarat mencari kerja gaji tidak sesuai pengeluaran makanya banyak orang orang banyak keluar negeri mencari kerje pendapatan masih seimbang sama pengeluaran","['maaf', 'bos', 'indonesia', 'banyak', 'syarat', 'cari', 'kerja', 'gaji', 'sesuai', 'keluar', 'orang', 'orang', 'negeri', 'cari', 'kerje', 'dapat', 'imbang', 'keluar']","maaf bos indonesia banyak syarat cari kerja gaji sesuai keluar orang orang negeri cari kerje dapat imbang keluar","negatif","0","0","2025-02-20 02:28:58"
"Ditungguin pendapatnya kakak, malah ngebahas yang udh kita tahu 🗿","Ditungguin pendapatnya kakak, malah ngebahas yang udh kita tahu 🗿","ditungguin pendapatnya kakak malah ngebahas yang udh kita tahu","ditungguin pendapatnya kakak malah ngebahas yang sudah kita tahu","['ditungguin', 'dapat', 'kakak', 'ngebahas']","ditungguin dapat kakak ngebahas","netral","0","0","2025-02-14 11:59:39"
"Erwin’s comment: 10 tahun udah netep atau dapet istri warlok sana mnding pindah kewarganegaraan, sayang uang lu buat bayar pajak ini negeri 🗿","10 tahun udah netep atau dapet istri warlok sana mnding pindah kewarganegaraan, sayang uang lu buat bayar pajak ini negeri 🗿","10 tahun udah netep atau dapet istri warlok sana mnding pindah kewarganegaraan sayang uang lu buat bayar pajak ini negeri","10 tahun sudah netep atau dapet istri warlok sana mnding pindah kewarganegaraan sayang uang kamu buat bayar pajak ini negeri","['netep', 'dapet', 'istri', 'warlok', 'mnding', 'pindah', 'kewarganegaraan', 'sayang', 'uang', 'bayar', 'pajak', 'negeri']","netep dapet istri warlok mnding pindah kewarganegaraan sayang uang bayar pajak negeri","negatif","0","0","2025-02-18 09:56:57"
"@GL_Sapu_dalan’s comment: tidakkkkkk diragukan lagi 🥵","tidakkkkkk diragukan lagi 🥵","tidakkkkkk diragukan lagi","tidak diragukan lagi","['ragu']","ragu","positif","0","0","2025-02-16 10:32:26"
"smg dg adanya #kaburajadulu bisa merubah persyaratan kerja di indo apalagi masalah umur","smg dg adanya #kaburajadulu bisa merubah persyaratan kerja di indo apalagi masalah umur","smg dg adanya bisa merubah persyaratan kerja di indo apalagi masalah umur","smg dg adanya bisa merubah persyaratan kerja di indonesia apalagi masalah umur","['smg', 'dg', 'rubah', 'syarat', 'kerja', 'indonesia', 'umur']","smg dg rubah syarat kerja indonesia umur","positif","2","0","2025-02-12 12:13:43"
"rαrααααααα🎶🤍’s comment: Rasanya pengen pergi dari negara ini , gaesss butuh inpo TKW 🙏🏻","Rasanya pengen pergi dari negara ini , gaesss butuh inpo TKW 🙏🏻","rasanya pengen pergi dari negara ini gaesss butuh inpo tkw","rasanya ingin pergi dari negara ini gaes butuh inpo tkw","['pergi', 'negara', 'gaes', 'butuh', 'inpo', 'tkw']","pergi negara gaes butuh inpo tkw","positif","1","0","2025-02-12 23:20:04"
"Roki D1K’s comment: Negara aja ga peduli sama rakyatnya ngomongin nasionalisme.lebih tepatnya peringgi negara","Negara aja ga peduli sama rakyatnya ngomongin nasionalisme.lebih tepatnya peringgi negara","negara aja ga peduli sama rakyatnya ngomongin nasionalismelebih tepatnya peringgi negara","negara aja tidak peduli sama rakyatnya ngomongin nasionalismelebih tepatnya peringgi negara","['negara', 'aja', 'peduli', 'rakyat', 'ngomongin', 'nasionalismelebih', 'tepat', 'peringgi', 'negara']","negara aja peduli rakyat ngomongin nasionalismelebih tepat peringgi negara","negatif","0","1","2025-02-15 15:36:30"
"Januar’s comment: Saya Sebagai Rakyat Indonesia malah Meragukan Nasionalisme para Penguasa di Negeri ini terhadap Rakyatnya Sendiri yang TIDAK DIPERHATIKAN KESEJAHTERAAN NYA. MANA ITU SILA KE 5.?? MANA.???","Saya Sebagai Rakyat Indonesia malah Meragukan Nasionalisme para Penguasa di Negeri ini terhadap Rakyatnya Sendiri yang TIDAK DIPERHATIKAN KESEJAHTERAAN NYA. MANA ITU SILA KE 5.?? MANA.???","saya sebagai rakyat indonesia malah meragukan nasionalisme para penguasa di negeri ini terhadap rakyatnya sendiri yang tidak diperhatikan kesejahteraan nya mana itu sila ke 5 mana","saya sebagai rakyat indonesia malah meragukan nasionalisme para penguasa di negeri ini terhadap rakyatnya sendiri yang tidak diperhatikan kesejahteraan nya mana itu sila ke 5 mana","['rakyat', 'indonesia', 'ragu', 'nasionalisme', 'kuasa', 'negeri', 'rakyat', 'perhati', 'sejahtera', 'sila']","rakyat indonesia ragu nasionalisme kuasa negeri rakyat perhati sejahtera sila","negatif","0","0","2025-02-15 16:04:18"
"Arif Rahman’s comment: lebih baik hujan emas di negri orang dari pada melarat di negeri sendiri","lebih baik hujan emas di negri orang dari pada melarat di negeri sendiri","lebih baik hujan emas di negri orang dari pada melarat di negeri sendiri","lebih baik hujan emas di negri orang dari pada melarat di negeri sendiri","['hujan', 'emas', 'negri', 'orang', 'melarat', 'negeri']","hujan emas negri orang melarat negeri","positif","1","0","2025-02-14 13:51:03"
"bubar""","bubar""","bubar","bubar","['bubar']","bubar","negatif","0","0","2025-02-20 06:07:51"
"VitaPurba’s comment: saya meragukan cara kerja bapak untuk rakyat🙏🙏","saya meragukan cara kerja bapak untuk rakyat🙏🙏","saya meragukan cara kerja bapak untuk rakyat","saya meragukan cara kerja bapak untuk rakyat","['ragu', 'kerja', 'rakyat']","ragu kerja rakyat","negatif","2","0","2025-02-12 08:14:42"
"H.Herdianto Tizui’s comment: kalo Kya gini saya lebih milih pindah keluar negri..","kalo Kya gini saya lebih milih pindah keluar negri..","kalo kya gini saya lebih milih pindah keluar negri","kalau kya gini saya lebih milih pindah keluar negri","['kya', 'gin', 'milih', 'pindah', 'negri']","kya gin milih pindah negri","positif","0","0","2025-02-20 06:17:02"
"arinnnnnn’s comment: plis outfit nyari pkl ka vinaa","plis outfit nyari pkl ka vinaa","plis outfit nyari pkl ka vinaa","plis outfit mencari pkl ka vinaa","['plis', 'outfit', 'cari', 'pkl', 'ka', 'vinaa']","plis outfit cari pkl ka vinaa","netral","0","0","2025-02-15 02:14:48"
"Hnmk2nd’s comment: negri anime🥰","negri anime🥰","negri anime","negri anime","['negri', 'anime']","negri anime","positif","0","0","2025-02-10 10:38:45"
"Alvaro Insani Rizky’s comment: saya malah meragukanmu pemerintahmu 😁😁","saya malah meragukanmu pemerintahmu 😁😁","saya malah meragukanmu pemerintahmu","saya malah meragukanmu pemerintahmu","['ragu', 'perintah']","ragu perintah","negatif","0","0","2025-02-20 10:15:23"
"info loker luar negeri bos.","info loker luar negeri bos.","info loker luar negeri bos","info loker luar negeri bos","['info', 'loker', 'negeri', 'bos']","info loker negeri bos","positif","1","0","2025-02-14 00:48:13"
"Maknur_Glenmargo’s comment: Yo ngene ae ws. sediakan lapangan pekerjaan pak. seng gajine 10 JT keatas+ BPJS ketenagakerjaan+ perumahan tanpa dipotong apa"". piye se7?","Yo ngene ae ws. sediakan lapangan pekerjaan pak. seng gajine 10 JT keatas+ BPJS ketenagakerjaan+ perumahan tanpa dipotong apa"". piye se7?","yo ngene ae ws sediakan lapangan pekerjaan pak seng gajine 10 jt keatas bpjs ketenagakerjaan perumahan tanpa dipotong apa piye se7","yo ngene ae ws sediakan lapangan pekerjaan pak seng gajine 10 juta keatas bpjs ketenagakerjaan perumahan tanpa dipotong apa piye se7","['yo', 'ngene', 'ae', 'ws', 'sedia', 'lapang', 'kerja', 'seng', 'gajine', 'juta', 'atas', 'bpjs', 'ketenagakerjaan', 'rumah', 'potong', 'piye']","yo ngene ae ws sedia lapang kerja seng gajine juta atas bpjs ketenagakerjaan rumah potong piye","negatif","2","0","2025-02-14 03:20:32"
"Gabe Place’s comment: cara pindah gimana ?","cara pindah gimana ?","cara pindah gimana","cara pindah bagaimana","['pindah']","pindah","netral","0","0","2025-02-17 12:03:12"
"And B’s comment: knp ga dia aja sih disruh pindah ke afrika","knp ga dia aja sih disruh pindah ke afrika","knp ga dia aja sih disruh pindah ke afrika","knp tidak dia aja sih disruh pindah ke afrika","['knp', 'aja', 'disruh', 'pindah', 'afrika']","knp aja disruh pindah afrika","negatif","0","0","2025-02-21 14:19:52"
"Anggadisiniiii’s comment: aku juga tim #KaburAjaDulu
dari Indonesia ke Tangerang","aku juga tim #KaburAjaDulu
dari Indonesia ke Tangerang","aku juga tim dari indonesia ke tangerang","saya juga tim dari indonesia ke tangerang","['tim', 'indonesia', 'tangerang']","tim indonesia tangerang","positif","9","3","2025-02-15 05:46:25"
"udah gaji dikit,banyak syarat,ngatur lagi🗿 Emang aneh nih Negara🗿","udah gaji dikit,banyak syarat,ngatur lagi🗿 Emang aneh nih Negara🗿","udah gaji dikitbanyak syaratngatur lagi emang aneh nih negara","sudah gaji dikitbanyak syaratngatur lagi memang aneh nih negara","['gaji', 'dikitbanyak', 'syaratngatur', 'aneh', 'negara']","gaji dikitbanyak syaratngatur aneh negara","negatif","0","0","2025-02-20 05:30:43"
"Muhafif🥀’s comment: insyaallah puasa gw pinda ke Arab mohon doanya tmn2","insyaallah puasa gw pinda ke Arab mohon doanya tmn2","insyaallah puasa gw pinda ke arab mohon doanya tmn2","insyaallah puasa saya pinda ke arab mohon doanya tmn2","['insyaallah', 'puasa', 'pinda', 'arab', 'mohon', 'doa']","insyaallah puasa pinda arab mohon doa","positif","0","0","2025-02-19 07:55:14"
"Nasionalisme Untuk Negara bendera Merah Putih Sang Saka merah putih Bukan Untuk Pemerintah kompetenya jir🗿","Nasionalisme Untuk Negara bendera Merah Putih Sang Saka merah putih Bukan Untuk Pemerintah kompetenya jir🗿","nasionalisme untuk negara bendera merah putih sang saka merah putih bukan untuk pemerintah kompetenya jir","nasionalisme untuk negara bendera merah putih sang saka merah putih bukan untuk pemerintah kompetenya jir","['nasionalisme', 'negara', 'bendera', 'merah', 'putih', 'saka', 'merah', 'putih', 'perintah', 'kompetenya', 'jir']","nasionalisme negara bendera merah putih saka merah putih perintah kompetenya jir","positif","2","0","2025-02-14 13:08:19"
