"text","extracted_text","cleaned_text","normalized_text","tokens_no_stopwords_and_stemmed","processed","sentiment_label","likes","reply_count","created_time_formatted"
"uchiha Obito 🥀❤️‍🩹💔’s comment: ayo ke jepang aj udah dapet rumah Sam uang o","ayo ke jepang aj udah dapet rumah Sam uang o","ayo ke jepang aj udah dapet rumah sam uang o","ayo ke jepang aj sudah dapet rumah sam uang o","['jepang', 'aj', 'dapet', 'rumah', 'sam', 'uang']","jepang aj dapet rumah sam uang","positif","1","0","2025-02-12 18:21:15"
"🌸🌻🌸🌻’s comment: Klo dlu aku ngimpinya cuma jalan2 aja, eh malah tinggal da mau 5 taun 🗿","Klo dlu aku ngimpinya cuma jalan2 aja, eh malah tinggal da mau 5 taun 🗿","klo dlu aku ngimpinya cuma jalan2 aja eh malah tinggal da mau 5 taun","kalau dlu saya ngimpinya cuma jalan2 aja eh malah tinggal da mau 5 tahun","['dlu', 'ngimpinya', 'aja', 'tinggal', 'da']","dlu ngimpinya aja tinggal da","negatif","0","1","2025-02-14 01:26:53"
"why’s comment: jadi pengen ke pluto aja ka pusing aku😭😭","jadi pengen ke pluto aja ka pusing aku😭😭","jadi pengen ke pluto aja ka pusing aku","jadi ingin ke pluto aja ka pusing saya","['pluto', 'aja', 'ka', 'pusing']","pluto aja ka pusing","positif","0","0","2025-02-16 08:13:53"
"Dion milala’s comment: gw solo di Afrika
gk ada niatan DTG sini cokk😌","gw solo di Afrika
gk ada niatan DTG sini cokk😌","gw solo di afrika gk ada niatan dtg sini cokk","saya solo di afrika tidak ada niatan datang sini cokk","['solo', 'afrika', 'niat', 'cokk']","solo afrika niat cokk","negatif","0","0","2025-02-20 06:57:39"
"Boy🇦🇺’s comment: Gw jadi wasit aja","Gw jadi wasit aja","gw jadi wasit aja","saya jadi wasit aja","['wasit', 'aja']","wasit aja","netral","0","0","2025-02-18 12:19:21"
"Madeleine Merentek’s comment: realistis aja, gaji d luar lbh gede dbanding di Indo. emg lu bisa ksh gaji sbsar d luar?wkwk","realistis aja, gaji d luar lbh gede dbanding di Indo. emg lu bisa ksh gaji sbsar d luar?wkwk","realistis aja gaji d luar lbh gede dbanding di indo emg lu bisa ksh gaji sbsar d luarwkwk","realistis aja gaji d luar lbh gede dbanding di indonesia memang kamu bisa ksh gaji sbsar d luarwkwk","['realistis', 'aja', 'gaji', 'lbh', 'gede', 'dbanding', 'indonesia', 'ksh', 'gaji', 'sbsar', 'luarwkwk']","realistis aja gaji lbh gede dbanding indonesia ksh gaji sbsar luarwkwk","positif","1","0","2025-02-13 01:37:03"
"Haryati’s comment: Gue Yg memasuki tahun ke 26 di Jepang mumgkin sama Bahlul sdh di hitung pengkhianat negara 🤣","Gue Yg memasuki tahun ke 26 di Jepang mumgkin sama Bahlul sdh di hitung pengkhianat negara 🤣","gue yg memasuki tahun ke 26 di jepang mumgkin sama bahlul sdh di hitung pengkhianat negara","gue yang memasuki tahun ke 26 di jepang mumgkin sama bahlul sudah di hitung pengkhianat negara","['gue', 'pasuk', 'jepang', 'mumgkin', 'bahlul', 'hitung', 'khianat', 'negara']","gue pasuk jepang mumgkin bahlul hitung khianat negara","negatif","0","0","2025-02-19 08:30:32"
"Lou..’s comment: W 2 tahun di thailand balik indo bisa buka resto, gimana kalo pas itu w masih stay di indo?😭","W 2 tahun di thailand balik indo bisa buka resto, gimana kalo pas itu w masih stay di indo?😭","w 2 tahun di thailand balik indo bisa buka resto gimana kalo pas itu w masih stay di indo","saya 2 tahun di thailand balik indonesia bisa buka resto bagaimana kalau pas itu saya masih stay di indonesia","['thailand', 'indonesia', 'buka', 'resto', 'pas', 'stay', 'indonesia']","thailand indonesia buka resto pas stay indonesia","positif","0","0","2025-02-16 13:41:33"
"one day Allah🙏 sedang diusahakan","one day Allah🙏 sedang diusahakan","one day allah sedang diusahakan","one day allah sedang diusahakan","['one', 'day', 'allah', 'usaha']","one day allah usaha","netral","0","1","2025-02-15 02:51:14"
"@my.habibah’s comment: Menurut aku besok tak buat lapangan pekerjaan 😂","Menurut aku besok tak buat lapangan pekerjaan 😂","menurut aku besok tak buat lapangan pekerjaan","menurut saya besok tak buat lapangan pekerjaan","['lapang', 'kerja']","lapang kerja","netral","0","0","2025-02-20 01:17:23"
"Zeyaalfy🐍’s comment: AMINN. InsyaAllah langkah pertama ku adalah saat aku kelas 11, exchange student ke US, dan selama setahun itu buka koneksi sama banyak orang","AMINN. InsyaAllah langkah pertama ku adalah saat aku kelas 11, exchange student ke US, dan selama setahun itu buka koneksi sama banyak orang","aminn insyaallah langkah pertama ku adalah saat aku kelas 11 exchange student ke us dan selama setahun itu buka koneksi sama banyak orang","aminn insyaallah langkah pertama saya adalah saat saya kelas 11 exchange student ke us dan selama setahun itu buka koneksi sama banyak orang","['aminn', 'insyaallah', 'langkah', 'kelas', 'exchange', 'student', 'us', 'tahun', 'buka', 'koneksi', 'orang']","aminn insyaallah langkah kelas exchange student us tahun buka koneksi orang","positif","2","7","2025-02-14 03:45:31"
"bismillah dapet beasiswa mau kuliah di luar negeri 🤲🏻","bismillah dapet beasiswa mau kuliah di luar negeri 🤲🏻","bismillah dapet beasiswa mau kuliah di luar negeri","bismillah dapet beasiswa mau kuliah di luar negeri","['bismillah', 'dapet', 'beasiswa', 'kuliah', 'negeri']","bismillah dapet beasiswa kuliah negeri","positif","0","0","2025-02-10 11:31:04"
"Renungan MaLam. ✨🌙’s comment: Mau kabur juga tetep ajah gak bisa. 😞
Gak punya duit buat kursus bahasa, dan gak punya duit buat urus-urus dokumen & paspor.","Mau kabur juga tetep ajah gak bisa. 😞
Gak punya duit buat kursus bahasa, dan gak punya duit buat urus-urus dokumen & paspor.","mau kabur juga tetep ajah gak bisa gak punya duit buat kursus bahasa dan gak punya duit buat urusurus dokumen paspor","mau kabur juga tetep ajah tidak bisa tidak punya duit buat kursus bahasa dan tidak punya duit buat urusurus dokumen paspor","['kabur', 'tetep', 'ajah', 'duit', 'kursus', 'bahasa', 'duit', 'urusurus', 'dokumen', 'paspor']","kabur tetep ajah duit kursus bahasa duit urusurus dokumen paspor","negatif","0","0","2025-02-19 08:19:25"
"master limbat’s comment: dia bicara tentang ""nasionalisme"" 😹 lelucon apa ini rek, dia aja kagak becus urus rakyat mau bicara tentang nasionalisme😹","dia bicara tentang ""nasionalisme"" 😹 lelucon apa ini rek, dia aja kagak becus urus rakyat mau bicara tentang nasionalisme😹","dia bicara tentang nasionalisme lelucon apa ini rek dia aja kagak becus urus rakyat mau bicara tentang nasionalisme","dia bicara tentang nasionalisme lelucon apa ini rek dia aja kagak becus urus rakyat mau bicara tentang nasionalisme","['bicara', 'nasionalisme', 'lelucon', 'rek', 'aja', 'kagak', 'becus', 'urus', 'rakyat', 'bicara', 'nasionalisme']","bicara nasionalisme lelucon rek aja kagak becus urus rakyat bicara nasionalisme","negatif","1","0","2025-02-13 01:08:13"
"Harry Saputra’s comment: yg bisa pindah ke luar negeri..
1..orang Kaya raya
2.TKI","yg bisa pindah ke luar negeri..
1..orang Kaya raya
2.TKI","yg bisa pindah ke luar negeri 1orang kaya raya 2tki","yang bisa pindah ke luar negeri 1orang kaya raya 2tki","['pindah', 'negeri', 'kaya', 'raya']","pindah negeri kaya raya","negatif","2","0","2025-02-13 14:41:52"
"cari kerja di Indonesia susah gaji Kecil kena pajak pulah mirsnya Indonesia","cari kerja di Indonesia susah gaji Kecil kena pajak pulah mirsnya Indonesia","cari kerja di indonesia susah gaji kecil kena pajak pulah mirsnya indonesia","cari kerja di indonesia susah gaji kecil kena pajak pulah mirsnya indonesia","['cari', 'kerja', 'indonesia', 'susah', 'gaji', 'kena', 'pajak', 'pulah', 'mirsnya', 'indonesia']","cari kerja indonesia susah gaji kena pajak pulah mirsnya indonesia","negatif","0","0","2025-02-18 10:41:49"
"Mina feni’s comment: bapak kerja diluar Negeri gaji lbh dari DPR","bapak kerja diluar Negeri gaji lbh dari DPR","bapak kerja diluar negeri gaji lbh dari dpr","bapak kerja diluar negeri gaji lbh dari dpr","['kerja', 'luar', 'negeri', 'gaji', 'lbh', 'dpr']","kerja luar negeri gaji lbh dpr","positif","0","0","2025-02-19 10:20:37"
"Michael Kovlowsku’s comment: Burung Sakti Elang Rajawali. atau di kenal garuda Padahal raja dari segala burung, Namun Di selimut Parasit parasit
#KaburAjaDulu ✈","Burung Sakti Elang Rajawali. atau di kenal garuda Padahal raja dari segala burung, Namun Di selimut Parasit parasit
#KaburAjaDulu ✈","burung sakti elang rajawali atau di kenal garuda padahal raja dari segala burung namun di selimut parasit parasit","burung sakti elang rajawali atau di kenal garuda padahal raja dari segala burung namun di selimut parasit parasit","['burung', 'sakti', 'elang', 'rajawali', 'kenal', 'garuda', 'raja', 'burung', 'selimut', 'parasit', 'parasit']","burung sakti elang rajawali kenal garuda raja burung selimut parasit parasit","negatif","0","0","2025-02-17 13:35:03"
"raayiesa’s comment: org yg ngacak2 negara bicara soal nasionalisme 😂","org yg ngacak2 negara bicara soal nasionalisme 😂","org yg ngacak2 negara bicara soal nasionalisme","orang yang ngacak2 negara bicara soal nasionalisme","['orang', 'negara', 'bicara', 'nasionalisme']","orang negara bicara nasionalisme","positif","1","0","2025-02-18 23:14:07"
"panggil aja mey’s comment: aku suka gayamu bangg","aku suka gayamu bangg","aku suka gayamu bangg","saya suka gayamu bangg","['suka', 'gaya', 'bangg']","suka gaya bangg","positif","0","0","2025-02-18 17:27:28"
"@rii @xjsusjsnskdz @ai @Hanrut wishlist dari kecil gw begini pindah kewarganegaraan 🗿","@rii @xjsusjsnskdz @ai @Hanrut wishlist dari kecil gw begini pindah kewarganegaraan 🗿","wishlist dari kecil gw begini pindah kewarganegaraan","wishlist dari kecil saya begini pindah kewarganegaraan","['wishlist', 'pindah', 'kewarganegaraan']","wishlist pindah kewarganegaraan","positif","3","2","2025-02-12 09:46:59"
"A💫’s comment: pantesan Susanti pindah negara 🤐","pantesan Susanti pindah negara 🤐","pantesan susanti pindah negara","pantesan susanti pindah negara","['pantesan', 'susanti', 'pindah', 'negara']","pantesan susanti pindah negara","positif","1","0","2025-02-28 06:30:13"
"~D’s comment: dari pada dikonoha banyak korupnya🗿","dari pada dikonoha banyak korupnya🗿","dari pada dikonoha banyak korupnya","dari pada dikonoha banyak korupnya","['dikonoha', 'korup']","dikonoha korup","positif","1","0","2025-02-22 01:59:20"
"Aditech’s comment: kumpulin modal abis tuhh #kaburajadulu","kumpulin modal abis tuhh #kaburajadulu","kumpulin modal abis tuhh","kumpulin modal abis tuhh","['kumpulin', 'modal', 'abis', 'tuhh']","kumpulin modal abis tuhh","positif","0","0","2025-02-14 11:33:02"
"Bahlil B nya Apa?","Bahlil B nya Apa?","bahlil b nya apa","bahlil b nya apa","['bahlil']","bahlil","netral","0","0","2025-02-26 06:09:57"
"Khumaeroh’s comment: aku hidup di indonesia dg latar belakang keluarga yg kurang mampu, tp aku kerja keras kerja otak, alhamdulillah umur ku baru 22 udah punya usaha sendiri, rumah ortu ku beres, kuliah ku lanjut sampe s1","aku hidup di indonesia dg latar belakang keluarga yg kurang mampu, tp aku kerja keras kerja otak, alhamdulillah umur ku baru 22 udah punya usaha sendiri, rumah ortu ku beres, kuliah ku lanjut sampe s1","aku hidup di indonesia dg latar belakang keluarga yg kurang mampu tp aku kerja keras kerja otak alhamdulillah umur ku baru 22 udah punya usaha sendiri rumah ortu ku beres kuliah ku lanjut sampe s1","saya hidup di indonesia dg latar belakang keluarga yang kurang mampu tp saya kerja keras kerja otak alhamdulillah umur saya baru 22 sudah punya usaha sendiri rumah ortu saya beres kuliah saya lanjut sampe s1","['hidup', 'indonesia', 'dg', 'latar', 'keluarga', 'tp', 'kerja', 'keras', 'kerja', 'otak', 'alhamdulillah', 'umur', 'usaha', 'rumah', 'ortu', 'beres', 'kuliah', 'sampe']","hidup indonesia dg latar keluarga tp kerja keras kerja otak alhamdulillah umur usaha rumah ortu beres kuliah sampe","positif","3","1","2025-02-18 22:49:06"
"Gaji minta di naikin eh peraturan perusahaaan makin kek babu semua di kerjain tapi gaji umk yang nggak ngotaak , jam kerja makin nambah , pergi pagi pulang malam , gaji segitu aja","Gaji minta di naikin eh peraturan perusahaaan makin kek babu semua di kerjain tapi gaji umk yang nggak ngotaak , jam kerja makin nambah , pergi pagi pulang malam , gaji segitu aja","gaji minta di naikin eh peraturan perusahaaan makin kek babu semua di kerjain tapi gaji umk yang nggak ngotaak jam kerja makin nambah pergi pagi pulang malam gaji segitu aja","gaji minta di naikin eh peraturan perusahan makin seperti babu semua di kerjain tapi gaji umk yang tidak ngotaak jam kerja makin nambah pergi pagi pulang malam gaji segitu aja","['gaji', 'naikin', 'atur', 'usah', 'babu', 'kerjain', 'gaji', 'umk', 'ngotaak', 'kerja', 'nambah', 'pergi', 'pagi', 'pulang', 'malam', 'gaji', 'segitu', 'aja']","gaji naikin atur usah babu kerjain gaji umk ngotaak kerja nambah pergi pagi pulang malam gaji segitu aja","negatif","0","0","2025-02-21 09:56:34"
"Tigaprabu’s comment: Nasionalis g kerja ga makan negara g kasih solusi😭","Nasionalis g kerja ga makan negara g kasih solusi😭","nasionalis g kerja ga makan negara g kasih solusi","nasionalis tidak kerja tidak makan negara tidak kasih solusi","['nasionalis', 'kerja', 'makan', 'negara', 'kasih', 'solusi']","nasionalis kerja makan negara kasih solusi","negatif","0","0","2025-03-14 13:48:36"
"viky’s comment: menurut ku pecat aja dulu Bahlil","menurut ku pecat aja dulu Bahlil","menurut ku pecat aja dulu bahlil","menurut saya pecat aja dulu bahlil","['pecat', 'aja', 'bahlil']","pecat aja bahlil","negatif","0","0","2025-02-20 01:43:11"
"sekolah lah lah lah lah lah la’s comment: pindah soalnya di sini banyak tikus","pindah soalnya di sini banyak tikus","pindah soalnya di sini banyak tikus","pindah soalnya di sini banyak tikus","['pindah', 'tikus']","pindah tikus","negatif","0","0","2025-02-19 05:58:51"
"Sendok sup abad 17’s comment: lah polusi malah nyalahin pemerintah","lah polusi malah nyalahin pemerintah","lah polusi malah nyalahin pemerintah","lah polusi malah nyalahin pemerintah","['polusi', 'nyalahin', 'perintah']","polusi nyalahin perintah","negatif","0","0","2025-02-17 06:53:29"
"Juni Dola Sipayung’s comment: lahh kami meragukan kinerja pejabat Indonesia!!!","lahh kami meragukan kinerja pejabat Indonesia!!!","lahh kami meragukan kinerja pejabat indonesia","lahh kami meragukan kinerja pejabat indonesia","['lahh', 'ragu', 'kerja', 'jabat', 'indonesia']","lahh ragu kerja jabat indonesia","negatif","0","0","2025-02-19 02:47:46"
"Gyra!!’s comment: lebih baik kerja di negeri orang gaji nya jelas pada di negeri sendiri gaji nya ga jelas 😹😹","lebih baik kerja di negeri orang gaji nya jelas pada di negeri sendiri gaji nya ga jelas 😹😹","lebih baik kerja di negeri orang gaji nya jelas pada di negeri sendiri gaji nya ga jelas","lebih baik kerja di negeri orang gaji nya jelas pada di negeri sendiri gaji nya tidak jelas","['kerja', 'negeri', 'orang', 'gaji', 'negeri', 'gaji']","kerja negeri orang gaji negeri gaji","positif","0","0","2025-03-13 05:22:02"
"TEGAR_WBW’s comment: Realistis aja peduli sama diri sendiri itu paling utama","Realistis aja peduli sama diri sendiri itu paling utama","realistis aja peduli sama diri sendiri itu paling utama","realistis aja peduli sama diri sendiri itu paling utama","['realistis', 'aja', 'peduli', 'utama']","realistis aja peduli utama","netral","5","0","2025-02-13 16:28:06"
"Brave_Americano’s comment: BAHLUL SENGAJA BLUNDER, AGAR LUPA AKAN PAGAR LAUT, 271T, IKN, SAMBO, dan masih banyak lagi","BAHLUL SENGAJA BLUNDER, AGAR LUPA AKAN PAGAR LAUT, 271T, IKN, SAMBO, dan masih banyak lagi","bahlul sengaja blunder agar lupa akan pagar laut 271t ikn sambo dan masih banyak lagi","bahlul sengaja blunder agar lupa akan pagar laut 271t ikn sambo dan masih banyak lagi","['bahlul', 'sengaja', 'blunder', 'lupa', 'pagar', 'laut', 'ikn', 'sambo']","bahlul sengaja blunder lupa pagar laut ikn sambo","negatif","0","0","2025-02-14 15:43:09"
"beruang manis’s comment: gw Klo punya duit bnyk sma pintar cus pindah asli, nasib hidup oon bgt gini","gw Klo punya duit bnyk sma pintar cus pindah asli, nasib hidup oon bgt gini","gw klo punya duit bnyk sma pintar cus pindah asli nasib hidup oon bgt gini","saya kalau punya duit bnyk sma pintar cus pindah asli nasib hidup oon banget gini","['duit', 'bnyk', 'sma', 'pintar', 'cus', 'pindah', 'asli', 'nasib', 'hidup', 'oon', 'banget', 'gin']","duit bnyk sma pintar cus pindah asli nasib hidup oon banget gin","positif","0","0","2025-02-19 13:44:50"
"jdkjdn’s comment: emang sono memperhatikan kita²","emang sono memperhatikan kita²","emang sono memperhatikan kita²","memang sono memperhatikan kita²","['sono', 'perhati']","sono perhati","negatif","0","0","2025-02-23 09:38:18"
"gemoy_nya kamu 🥰’s comment: 80% penghasilan kami,kami kembalikan ke indonesia pak 🙏","80% penghasilan kami,kami kembalikan ke indonesia pak 🙏","80 penghasilan kamikami kembalikan ke indonesia pak","80 penghasilan kamikami kembalikan ke indonesia pak","['hasil', 'kamikami', 'kembali', 'indonesia']","hasil kamikami kembali indonesia","negatif","0","0","2025-02-15 11:57:03"
"Muhamad Dicky Subagia’s comment: In Syaa Allah 2026 setelah wisuda otw join trend #KaburAjaDulu","In Syaa Allah 2026 setelah wisuda otw join trend #KaburAjaDulu","in syaa allah 2026 setelah wisuda otw join trend","in syaa allah 2026 setelah wisuda otw join trend","['in', 'syaa', 'allah', 'wisuda', 'otw', 'join', 'trend']","in syaa allah wisuda otw join trend","positif","0","0","2025-02-15 03:42:34"
"strawberrymilk’s comment: bissmillah soon to be","bissmillah soon to be","bissmillah soon to be","bissmillah soon to be","['bissmillah', 'soon', 'to', 'be']","bissmillah soon to be","positif","0","0","2025-02-13 05:07:34"
"dian sartika♉🏮’s comment: setidaknya tidak maling duit negoro😔","setidaknya tidak maling duit negoro😔","setidaknya tidak maling duit negoro","setidaknya tidak maling duit negoro","['maling', 'duit', 'negoro']","maling duit negoro","negatif","0","0","2025-02-16 13:41:55"
"@ApaN’s comment: orang kyk gini jd mentri","orang kyk gini jd mentri","orang kyk gini jd mentri","orang kayak gini jadi mentri","['orang', 'kayak', 'gin', 'tri']","orang kayak gin tri","positif","0","0","2025-02-21 01:40:57"
"denn_prtm★★’s comment: emang indo ada salju😹😹","emang indo ada salju😹😹","emang indo ada salju","memang indonesia ada salju","['indonesia', 'salju']","indonesia salju","netral","1","0","2025-02-16 10:31:43"
"gerai jessika’s comment: klo negara isinya pemerintah aja ga ada rakyat gmn ya?meski ga mungkin, coba bayangin 🤣","klo negara isinya pemerintah aja ga ada rakyat gmn ya?meski ga mungkin, coba bayangin 🤣","klo negara isinya pemerintah aja ga ada rakyat gmn yameski ga mungkin coba bayangin","kalau negara isinya pemerintah aja tidak ada rakyat bagaimana yameski tidak mungkin coba bayangin","['negara', 'isi', 'perintah', 'aja', 'rakyat', 'yameski', 'coba', 'bayangin']","negara isi perintah aja rakyat yameski coba bayangin","negatif","0","0","2025-02-20 12:00:54"
"ay’s comment: Pengen kabur juga😔","Pengen kabur juga😔","pengen kabur juga","ingin kabur juga","['kabur']","kabur","positif","1","0","2025-02-12 14:57:05"
"bisa dilihat rakyat akan selalu menggibarkan bendera merah putih saat 17 agustus masak di di ragukan tdk didepan ruma doang di kendaraan juga","bisa dilihat rakyat akan selalu menggibarkan bendera merah putih saat 17 agustus masak di di ragukan tdk didepan ruma doang di kendaraan juga","bisa dilihat rakyat akan selalu menggibarkan bendera merah putih saat 17 agustus masak di di ragukan tdk didepan ruma doang di kendaraan juga","bisa dilihat rakyat akan selalu menggibarkan bendera merah putih saat 17 agustus masak di di ragukan tidak didepan ruma doang di kendaraan juga","['rakyat', 'menggibarkan', 'bendera', 'merah', 'putih', 'agustus', 'masak', 'ragu', 'depan', 'ruma', 'doang', 'kendara']","rakyat menggibarkan bendera merah putih agustus masak ragu depan ruma doang kendara","negatif","1","0","2025-02-12 05:37:00"
"Medianerkebun’s comment: Doaii gue tahun depan juga mau ikutan kabur dari negeri ini 🥰","Doaii gue tahun depan juga mau ikutan kabur dari negeri ini 🥰","doaii gue tahun depan juga mau ikutan kabur dari negeri ini","doaii gue tahun depan juga mau ikutan kabur dari negeri ini","['doaii', 'gue', 'ikut', 'kabur', 'negeri']","doaii gue ikut kabur negeri","positif","0","0","2025-02-18 12:48:40"
"Ezraborman’s comment: @gerindra tolong dengar min mau sampai kapan begini terus 😭😭","@gerindra tolong dengar min mau sampai kapan begini terus 😭😭","tolong dengar min mau sampai kapan begini terus","tolong dengar min mau sampai kapan begini terus","['tolong', 'dengar', 'min']","tolong dengar min","negatif","0","0","2025-02-14 18:07:45"
"®’s comment: jiwa nasionalisme keluar hanya untuk Timnas main 🤫","jiwa nasionalisme keluar hanya untuk Timnas main 🤫","jiwa nasionalisme keluar hanya untuk timnas main","jiwa nasionalisme keluar hanya untuk timnas main","['jiwa', 'nasionalisme', 'timnas', 'main']","jiwa nasionalisme timnas main","netral","1","0","2025-02-12 14:53:45"
"jal_dayat’s comment: kalo punya kesempatan, segera berangkat,, jgn d tunda2...
buat klean yg ga berencana lanjut kuliah,, segera cari info2 loker d luar negeri..
kalo ga mulai dr skrg, percaya lah kalian ga bakal bisa keluar dr sini lagi selamanya..","kalo punya kesempatan, segera berangkat,, jgn d tunda2...
buat klean yg ga berencana lanjut kuliah,, segera cari info2 loker d luar negeri..
kalo ga mulai dr skrg, percaya lah kalian ga bakal bisa keluar dr sini lagi selamanya..","kalo punya kesempatan segera berangkat jgn d tunda2 buat klean yg ga berencana lanjut kuliah segera cari info2 loker d luar negeri kalo ga mulai dr skrg percaya lah kalian ga bakal bisa keluar dr sini lagi selamanya","kalau punya kesempatan segera berangkat jgn d tunda2 buat klean yang tidak berencana lanjut kuliah segera cari info2 loker d luar negeri kalau tidak mulai dari sekarang percaya lah kalian tidak bakal bisa keluar dari sini lagi selamanya","['sempat', 'berangkat', 'jgn', 'klean', 'rencana', 'kuliah', 'cari', 'loker', 'negeri', 'percaya']","sempat berangkat jgn klean rencana kuliah cari loker negeri percaya","positif","1","0","2025-02-14 03:49:24"
"gw didukung ortu ke jepang,aaminn","gw didukung ortu ke jepang,aaminn","gw didukung ortu ke jepangaaminn","saya didukung ortu ke jepangaaminn","['dukung', 'ortu', 'jepangaaminn']","dukung ortu jepangaaminn","positif","0","0","2025-02-14 14:47:31"
"Hemady’s comment: kita cinta indonesi TPI indonesia ga cinta kita","kita cinta indonesi TPI indonesia ga cinta kita","kita cinta indonesi tpi indonesia ga cinta kita","kita cinta indonesi tpi indonesia tidak cinta kita","['cinta', 'indonesi', 'tpi', 'indonesia', 'cinta']","cinta indonesi tpi indonesia cinta","negatif","2","0","2025-02-15 06:37:19"
