"text","extracted_text","cleaned_text","normalized_text","processed","sentiment_label","likes","reply_count","created_time_formatted"
"ROJER’s comment: kabur aja dulu lah,,kalo udah mapan kita balik lagi aku udah jalan 1 BLN di LA.","kabur aja dulu lah,,kalo udah mapan kita balik lagi aku udah jalan 1 BLN di LA.","kabur aja dulu lahkalo udah mapan kita balik lagi aku udah jalan 1 bln di la","kabur aja dulu lahkalo sudah mapan kita balik lagi saya sudah jalan 1 bulan di la","kabur aja lahkalo mapan jalan la","positif","0","0","2025-02-14 14:20:48"
"JENN'S🇲🇨🇵🇸🇭🇰’s comment: cinta ku terhadap Indonesia sangat besar
tapi aku lebih cinta hidup ku dan keluarga ku
realistis 🥰","cinta ku terhadap Indonesia sangat besar
tapi aku lebih cinta hidup ku dan keluarga ku
realistis 🥰","cinta ku terhadap indonesia sangat besar tapi aku lebih cinta hidup ku dan keluarga ku realistis","cinta saya terhadap indonesia sangat besar tapi saya lebih cinta hidup saya dan keluarga saya realistis","cinta indonesia cinta hidup keluarga realistis","positif","0","0","2025-02-23 04:49:10"
"𝐁𝐙𝐑 𝐌𝐞𝐥𝐯 𝐓-𝐅𝐢𝐯𝐞.’s comment: 2027 gw otw😭🫵🏻🫵🏻","2027 gw otw😭🫵🏻🫵🏻","2027 gw otw","2027 saya otw","otw","positif","0","0","2025-02-20 07:31:43"
"salamfc’s comment: support #kaburajadulu kerja di luar negara, lebih layak dan terhormat dari pada di Indonesia sendiri","support #kaburajadulu kerja di luar negara, lebih layak dan terhormat dari pada di Indonesia sendiri","support kerja di luar negara lebih layak dan terhormat dari pada di indonesia sendiri","support kerja di luar negara lebih layak dan terhormat dari pada di indonesia sendiri","support kerja negara layak hormat indonesia","positif","0","0","2025-02-17 20:05:42"
"jzorro_’s comment: alhamdullilah udah pada sadar, btw pindah juga yuk 🗿","alhamdullilah udah pada sadar, btw pindah juga yuk 🗿","alhamdullilah udah pada sadar btw pindah juga yuk","alhamdullilah sudah pada sadar ngomong-ngomong pindah juga yuk","alhamdullilah sadar pindah","positif","1","0","2025-02-13 19:55:03"
"anak mbarep’s comment: absen negri gingseng ☝🏼😃","absen negri gingseng ☝🏼😃","absen negri gingseng","absen negri gingseng","absen negri gingseng","netral","1","2","2025-02-12 13:02:49"
"satu kata..muaaaak","satu kata..muaaaak","satu katamuaaaak","satu katamuak","katamuak","netral","0","0","2025-03-09 12:35:30"
"fanska’s comment: andai punya modal..aku pun mau pindah keluar negeri","andai punya modal..aku pun mau pindah keluar negeri","andai punya modalaku pun mau pindah keluar negeri","andai punya modalaku pun mau pindah keluar negeri","andai modalaku pindah negeri","positif","1","0","2025-02-12 17:35:50"
"copimocca’s comment: semoga sukses bang..jangan lupa ajak keluarga juga","semoga sukses bang..jangan lupa ajak keluarga juga","semoga sukses bangjangan lupa ajak keluarga juga","semoga sukses bangjangan lupa ajak keluarga juga","moga sukses bangjangan lupa ajak keluarga","positif","0","0","2025-02-16 03:02:09"
"kmi malah meragukan nasionalisme para koruptor.","kmi malah meragukan nasionalisme para koruptor.","kmi malah meragukan nasionalisme para koruptor","kmi malah meragukan nasionalisme para koruptor","kmi ragu nasionalisme koruptor","negatif","0","0","2025-02-15 15:35:34"
"Kennn’s comment: nasionalisme tinggi=di injak injak oknum negara😂","nasionalisme tinggi=di injak injak oknum negara😂","nasionalisme tinggidi injak injak oknum negara","nasionalisme tinggidi injak injak oknum negara","nasionalisme tinggidi injak injak oknum negara","negatif","0","0","2025-02-16 04:39:19"
"Desi co.id’s comment: Ikutannn gessss nabung dlu aku🥰🥰","Ikutannn gessss nabung dlu aku🥰🥰","ikutannn gessss nabung dlu aku","ikutan ges nabung dlu saya","ikut ges nabung dlu","positif","0","0","2025-02-15 00:29:40"
"dugong 60kg 🦭’s comment: gk usah bawa2 nasionalisme kaleeeeee 🥱🥱🥱","gk usah bawa2 nasionalisme kaleeeeee 🥱🥱🥱","gk usah bawa2 nasionalisme kaleeeeee","tidak usah bawa2 nasionalisme kale","nasionalisme kale","negatif","0","0","2025-02-21 12:47:59"
"dew aja’s comment: pengen kabur tapi gatau caranya tolongg dong stuck bgt di negara sendiri😭","pengen kabur tapi gatau caranya tolongg dong stuck bgt di negara sendiri😭","pengen kabur tapi gatau caranya tolongg dong stuck bgt di negara sendiri","ingin kabur tapi gatau caranya tolongg dong stuck banget di negara sendiri","kabur gatau tolongg stuck banget negara","positif","1","0","2025-02-12 04:55:43"
"𝗙𝗮𝗿𝗵𝗮𝗻 𝗬𝗚𝗬’s comment: pd kabur","pd kabur","pd kabur","pd kabur","pd kabur","netral","0","0","2025-02-14 11:07:17"
"me soon amen","me soon amen","me soon amen","me soon amen","me soon amen","positif","0","0","2025-02-15 15:58:48"
"𝙑𝙖𝙧𝘾𝙤’s comment: tangan nya putih bgt kak pake apaann","tangan nya putih bgt kak pake apaann","tangan nya putih bgt kak pake apaann","tangan nya putih banget kak pake apaann","tangan putih banget kak pake apaann","netral","0","0","2025-02-14 17:16:48"
"ajgajg999_’s comment: Bahlil B nya Bandyt","Bahlil B nya Bandyt","bahlil b nya bandyt","bahlil b nya bandyt","bahlil bandyt","netral","0","0","2025-02-19 13:10:52"
"Ef Yief’s comment: bolak balik saya ke gedung rektor lo Bg mana lantainya 3 eh sampai dilantai 3 bapaknya malah turun 😫","bolak balik saya ke gedung rektor lo Bg mana lantainya 3 eh sampai dilantai 3 bapaknya malah turun 😫","bolak balik saya ke gedung rektor lo bg mana lantainya 3 eh sampai dilantai 3 bapaknya malah turun","bolak balik saya ke gedung rektor kamu bg mana lantainya 3 eh sampai dilantai 3 bapaknya malah turun","bolak gedung rektor bg lantai lantai bapak turun","netral","0","0","2025-03-02 15:16:29"
"iyasii ga mudah bgt buat adaptasi dinegara orang, mending kalo di malay","iyasii ga mudah bgt buat adaptasi dinegara orang, mending kalo di malay","iyasii ga mudah bgt buat adaptasi dinegara orang mending kalo di malay","iyasii tidak mudah banget buat adaptasi dinegara orang mending kalau di malay","iyasii mudah banget adaptasi negara orang mending malay","netral","0","0","2025-02-15 02:10:49"
"#kabur_aja_dulu","#kabur_aja_dulu","","","","positif","0","0","2025-02-19 11:55:11"
"anda salah rakyat Indonesia tuh semakin di tangtang malah makin semangat🤣","anda salah rakyat Indonesia tuh semakin di tangtang malah makin semangat🤣","anda salah rakyat indonesia tuh semakin di tangtang malah makin semangat","anda salah rakyat indonesia tuh semakin di tangtang malah makin semangat","salah rakyat indonesia tangtang semangat","negatif","0","0","2025-02-16 13:28:39"
"PUARANG_TAMBANG’s comment: saya mau pindah ke jepang pak","saya mau pindah ke jepang pak","saya mau pindah ke jepang pak","saya mau pindah ke jepang pak","pindah jepang","positif","2","0","2025-02-12 06:25:41"
"nyanyaria’s comment: kenapa negara gue jadi kek gini wehhhhhh😭😭😭😭😭","kenapa negara gue jadi kek gini wehhhhhh😭😭😭😭😭","kenapa negara gue jadi kek gini wehhhhhh","kenapa negara gue jadi seperti gini weh","negara gue gin weh","negatif","1","0","2025-02-13 06:41:28"
"🫐🍓’s comment: #kaburajadulu w/ keluarga inti aamiin","#kaburajadulu w/ keluarga inti aamiin","w keluarga inti aamiin","saya keluarga inti aamiin","keluarga inti aamiin","negatif","0","1","2025-02-12 15:17:23"
"ila?yes sir’s comment: bismilah ya allah","bismilah ya allah","bismilah ya allah","bismillah ya allah","bismillah allah","positif","0","0","2025-02-25 12:06:34"
"jangan bicara nasionalisme bila yg diatas membuat kebijakan menyengsarakan rakyatnya..","jangan bicara nasionalisme bila yg diatas membuat kebijakan menyengsarakan rakyatnya..","jangan bicara nasionalisme bila yg diatas membuat kebijakan menyengsarakan rakyatnya","jangan bicara nasionalisme bila yang diatas membuat kebijakan menyengsarakan rakyatnya","bicara nasionalisme atas bijak sengsara rakyat","negatif","1","0","2025-02-15 07:28:56"
"@fetri elia💗’s comment: bersyukur ank"" saya lahir d malaysia n sah kewarganegaraan malaysia🥰🥰","bersyukur ank"" saya lahir d malaysia n sah kewarganegaraan malaysia🥰🥰","bersyukur ank saya lahir d malaysia n sah kewarganegaraan malaysia","bersyukur ank saya lahir d malaysia n sah kewarganegaraan malaysia","syukur ank lahir malaysia sah kewarganegaraan malaysia","positif","0","0","2025-02-21 07:51:15"
"baru kali ini gua ragu bet sama nasionalisme","baru kali ini gua ragu bet sama nasionalisme","baru kali ini gua ragu bet sama nasionalisme","baru kali ini saya ragu bet sama nasionalisme","kali ragu bet nasionalisme","negatif","2","0","2025-02-12 10:41:35"
"Lanjutkan bangg","Lanjutkan bangg","lanjutkan bangg","lanjutkan bangg","lanjut bangg","positif","0","0","2025-02-21 07:05:34"
"69’s comment: Ya allah pgn kerja di luar negri yg pake bahasa inggris aja 🥺","Ya allah pgn kerja di luar negri yg pake bahasa inggris aja 🥺","ya allah pgn kerja di luar negri yg pake bahasa inggris aja","ya allah ingin kerja di luar negri yang pake bahasa inggris aja","allah kerja negri pake bahasa inggris aja","positif","0","0","2025-02-15 16:15:01"
"Zeet.’s comment: kak bahas tentang bahlil🗿","kak bahas tentang bahlil🗿","kak bahas tentang bahlil","kak bahas tentang bahlil","kak bahas bahlil","netral","0","0","2025-02-14 13:32:58"
"Raangga’s comment: yg mau ke jepang bayarin dong","yg mau ke jepang bayarin dong","yg mau ke jepang bayarin dong","yang mau ke jepang bayarin dong","jepang bayarin","positif","0","0","2025-02-20 11:31:49"
"klo indonesia ga punya rakyat, mendadak miskin kelean😂","klo indonesia ga punya rakyat, mendadak miskin kelean😂","klo indonesia ga punya rakyat mendadak miskin kelean","kalau indonesia tidak punya rakyat mendadak miskin kelean","indonesia rakyat dadak miskin kelean","negatif","1","0","2025-02-14 06:21:30"
"Nita Mustika’s comment: kerja di luar negri Alhamdulillah makan enak gaji besar pak, di Indonesia seperti film sinetron Indosiar ku menangis😭😭 gak punya uang","kerja di luar negri Alhamdulillah makan enak gaji besar pak, di Indonesia seperti film sinetron Indosiar ku menangis😭😭 gak punya uang","kerja di luar negri alhamdulillah makan enak gaji besar pak di indonesia seperti film sinetron indosiar ku menangis gak punya uang","kerja di luar negri alhamdulillah makan enak gaji besar pak di indonesia seperti film sinetron indosiar saya menangis tidak punya uang","kerja negri alhamdulillah makan enak gaji indonesia film sinetron indosiar menang uang","positif","2","0","2025-02-19 10:41:10"
"🦅’s comment: intinya kita gak gerak cepet jadi beban negara krna gak ada pengangguran dibiayai negara kecuali di swedia juga irlandia dah itu aja selebihnya pemerintah kita bobrok jadi buruan pergi aja dulu bree","intinya kita gak gerak cepet jadi beban negara krna gak ada pengangguran dibiayai negara kecuali di swedia juga irlandia dah itu aja selebihnya pemerintah kita bobrok jadi buruan pergi aja dulu bree","intinya kita gak gerak cepet jadi beban negara krna gak ada pengangguran dibiayai negara kecuali di swedia juga irlandia dah itu aja selebihnya pemerintah kita bobrok jadi buruan pergi aja dulu bree","intinya kita tidak gerak cepet jadi beban negara krna tidak ada pengangguran dibiayai negara kecuali di swedia juga irlandia dah itu aja selebihnya pemerintah kita bobrok jadi buruan pergi aja dulu bree","inti gerak cepet beban negara krna anggur biaya negara kecuali swedia irlandia dah aja lebih perintah bobrok buru pergi aja bree","negatif","0","0","2025-02-16 04:11:13"
"💫🅘🅡🅟🅐🅝 🅘🅦🅐🅝🅖❹❺🇲?’s comment: emng nasionalis di sini dpt apa bos..susah iya..😂😂😂","emng nasionalis di sini dpt apa bos..susah iya..😂😂😂","emng nasionalis di sini dpt apa bossusah iya","emng nasionalis di sini dpt apa bossusah iya","emng nasionalis dpt bossusah iya","negatif","0","0","2025-03-14 01:09:17"
"UCOK CJ’s comment: emang pindah kewarganegaraan? bukannya cuma kerja di luar negeri doang ya?","emang pindah kewarganegaraan? bukannya cuma kerja di luar negeri doang ya?","emang pindah kewarganegaraan bukannya cuma kerja di luar negeri doang ya","memang pindah kewarganegaraan bukannya cuma kerja di luar negeri doang ya","pindah kewarganegaraan kerja negeri doang","netral","7","5","2025-02-17 06:35:54"
"peraturan segepok gajinya seitil","peraturan segepok gajinya seitil","peraturan segepok gajinya seitil","peraturan segepok gajinya seitil","atur gepok gaji itil","netral","0","0","2025-02-21 06:10:39"
"Kabinet Gacoer’s comment: Rumah yang nyaman yang bisa kasih makan pak bukan kasih kelaperan 🗿Lanjut nonton di >> https://youtu.be/azde9FGY9nU?si=R-gwD_wgaO0MIis7","Rumah yang nyaman yang bisa kasih makan pak bukan kasih kelaperan 🗿Lanjut nonton di >> https://youtu.be/azde9FGY9nU?si=R-gwD_wgaO0MIis7","rumah yang nyaman yang bisa kasih makan pak bukan kasih kelaperan lanjut nonton di","rumah yang nyaman yang bisa kasih makan pak bukan kasih kelaperan lanjut nonton di","rumah nyaman kasih makan kasih kelaperan nonton","netral","0","0","2025-02-23 10:50:05"
"Tarsiuabi’s comment: kucing=hama","kucing=hama","kucinghama","kucinghama","kucinghama","netral","2","0","2025-02-15 11:24:31"
"Di@s’s comment: ayo aja gw MH kalo kerjanya jelas..d indo nyari ceban aja susah","ayo aja gw MH kalo kerjanya jelas..d indo nyari ceban aja susah","ayo aja gw mh kalo kerjanya jelasd indo nyari ceban aja susah","ayo aja saya mh kalau kerjanya jelasd indonesia mencari ceban aja susah","aja mh kerja jelasd indonesia cari ceban aja susah","positif","0","0","2025-02-17 05:34:59"
"Aryaa💫🪐’s comment: Indonesia #kaburajadulu
negara lain #siniajadulu","Indonesia #kaburajadulu
negara lain #siniajadulu","indonesia negara lain","indonesia negara lain","indonesia negara","positif","1","0","2025-03-04 09:56:20"
"I wish I could escape too,maybe untuk suatu pendidikan saja..","I wish I could escape too,maybe untuk suatu pendidikan saja..","i wish i could escape toomaybe untuk suatu pendidikan saja","i wish i could escape toomaybe untuk suatu pendidikan saja","wish could escape toomaybe didik","netral","1","0","2025-02-12 05:28:22"
"nasionalisme yg gimana pak,pemerintah aja nggak punya nasionalisme ,knp saya bilang begitu contoh saja pak anak2 kami yg daftar kepolisian atau TNI nggak lolos klu tak ada uang ratusan juta","nasionalisme yg gimana pak,pemerintah aja nggak punya nasionalisme ,knp saya bilang begitu contoh saja pak anak2 kami yg daftar kepolisian atau TNI nggak lolos klu tak ada uang ratusan juta","nasionalisme yg gimana pakpemerintah aja nggak punya nasionalisme knp saya bilang begitu contoh saja pak anak2 kami yg daftar kepolisian atau tni nggak lolos klu tak ada uang ratusan juta","nasionalisme yang bagaimana pakpemerintah aja tidak punya nasionalisme knp saya bilang begitu contoh saja pak anak2 kami yang daftar kepolisian atau tni tidak lolos kalau tak ada uang ratusan juta","nasionalisme pakpemerintah aja nasionalisme knp bilang contoh daftar polisi tni lolos uang ratus juta","negatif","0","0","2025-02-18 04:24:53"
"#kamikanbukanpejabat","#kamikanbukanpejabat","","","","negatif","1","1","2025-02-12 16:06:35"
"maapin gue ya’s comment: kerja di indo kualifikasi yang berpeluang besar adalah orang brpengalmn","kerja di indo kualifikasi yang berpeluang besar adalah orang brpengalmn","kerja di indo kualifikasi yang berpeluang besar adalah orang brpengalmn","kerja di indonesia kualifikasi yang berpeluang besar adalah orang brpengalmn","kerja indonesia kualifikasi peluang orang brpengalmn","netral","2","2","2025-02-12 14:18:58"
"u7’s comment: nasionalisme kantong . kekayaan dri sendiri","nasionalisme kantong . kekayaan dri sendiri","nasionalisme kantong kekayaan dri sendiri","nasionalisme kantong kekayaan dri sendiri","nasionalisme kantong kaya dri","negatif","0","0","2025-02-17 15:05:27"
"Dindaaa😾’s comment: gaji perawat di indo kecil yaa... 😞","gaji perawat di indo kecil yaa... 😞","gaji perawat di indo kecil yaa","gaji perawat di indonesia kecil yaa","gaji awat indonesia yaa","negatif","1","1","2025-02-12 07:19:36"
"Harry Saputra’s comment: yg bisa pindah ke luar negeri..
1..orang Kaya raya
2.TKI","yg bisa pindah ke luar negeri..
1..orang Kaya raya
2.TKI","yg bisa pindah ke luar negeri 1orang kaya raya 2tki","yang bisa pindah ke luar negeri 1orang kaya raya 2tki","pindah negeri kaya raya","negatif","2","0","2025-02-13 14:41:52"
"akbar’s comment: nasionalisme apaan, kita di persulit di negara ini korupsi bgtu bnyk gaji dpr gk masuk akal,pengangguran cari kerja bgtu sulit dgn kualifikasinya semua serba mahal semua mnta pajak, trus?","nasionalisme apaan, kita di persulit di negara ini korupsi bgtu bnyk gaji dpr gk masuk akal,pengangguran cari kerja bgtu sulit dgn kualifikasinya semua serba mahal semua mnta pajak, trus?","nasionalisme apaan kita di persulit di negara ini korupsi bgtu bnyk gaji dpr gk masuk akalpengangguran cari kerja bgtu sulit dgn kualifikasinya semua serba mahal semua mnta pajak trus","nasionalisme apaan kita di persulit di negara ini korupsi begitu bnyk gaji dpr tidak masuk akalpengangguran cari kerja begitu sulit dengan kualifikasinya semua serba mahal semua mnta pajak trus","nasionalisme sulit negara korupsi bnyk gaji dpr masuk akalpengangguran cari kerja sulit kualifikasi serba mahal mnta pajak trus","negatif","1","0","2025-02-12 22:39:35"
