text,extracted_text,cleaned_text,normalized_text,tokens_no_stopwords_and_stemmed,tokens_no_stopwords_and_stemmed_formatted,processed,likes,reply_count,created_time_formatted,is_pinned,is_reply,user_verified,comment_language
Renny aureliani rauf 💋💅’s comment: iya bu kuliah mahal2 gaji cuma gaji UMR biaya hidup ampun2 dah,iya bu kuliah mahal2 gaji cuma gaji UMR biaya hidup ampun2 dah,iya bu kuliah mahal2 gaji cuma gaji umr biaya hidup ampun2 dah,iya bu kuliah mahal2 gaji cuma gaji umr biaya hidup ampun2 dah,"['iya', 'bu', 'kuliah', 'gaji', 'gaji', 'umr', 'biaya', 'hidup', 'dah']","[iya, bu, kuliah, gaji, gaji, umr, biaya, hidup, dah]",iya bu kuliah gaji gaji umr biaya hidup dah,0,0,2025-02-14 13:17:53,False,True,False,id
"D""tree_iyaz😊’s comment: lebih mudah mencerdaskan hewan dari mencerdaskan pendukung 58%",lebih mudah mencerdaskan hewan dari mencerdaskan pendukung 58%,lebih mudah mencerdaskan hewan dari mencerdaskan pendukung 58,lebih mudah mencerdaskan hewan dari mencerdaskan pendukung 58,"['mudah', 'cerdas', 'hewan', 'cerdas', 'dukung']","[mudah, cerdas, hewan, cerdas, dukung]",mudah cerdas hewan cerdas dukung,0,0,2025-02-16 08:51:16,False,True,False,id
"Naokun’s comment: Jangan mau makan gaji umr di masa muda, mimpi mu lebih besar dari umr","Jangan mau makan gaji umr di masa muda, mimpi mu lebih besar dari umr",jangan mau makan gaji umr di masa muda mimpi mu lebih besar dari umr,jangan mau makan gaji umr di masa muda mimpi mu lebih besar dari umr,"['makan', 'gaji', 'umr', 'muda', 'mimpi', 'umr']","[makan, gaji, umr, muda, mimpi, umr]",makan gaji umr muda mimpi umr,0,0,2025-02-15 01:05:22,False,True,False,id
Agustinshoopp’s comment: bagi template capcut ya ka🙏,bagi template capcut ya ka🙏,bagi template capcut ya ka,bagi template capcut ya ka,"['template', 'capcut', 'ka']","[template, capcut, ka]",template capcut ka,0,0,2025-02-17 04:05:47,False,True,False,id
D O S’s comment: tapi bnyk juga yg kabur keluar negri. kmaren kmaren rame tuh minta tolong di pulangkan Ama pak Prabowo 🗿🗿🗿,tapi bnyk juga yg kabur keluar negri. kmaren kmaren rame tuh minta tolong di pulangkan Ama pak Prabowo 🗿🗿🗿,tapi bnyk juga yg kabur keluar negri kmaren kmaren rame tuh minta tolong di pulangkan ama pak prabowo,tapi bnyk juga yang kabur keluar negri kmaren kmaren rame tuh minta tolong di pulangkan ama pak prabowo,"['bnyk', 'kabur', 'negri', 'kmaren', 'kmaren', 'rame', 'tolong', 'pulang', 'ama', 'prabowo']","[bnyk, kabur, negri, kmaren, kmaren, rame, tolong, pulang, ama, prabowo]",bnyk kabur negri kmaren kmaren rame tolong pulang ama prabowo,0,0,2025-02-20 05:04:00,False,True,False,id
Fadil’s comment: capek banget hidup di konoha🗿,capek banget hidup di konoha🗿,capek banget hidup di konoha,capek banget hidup di konoha,"['capek', 'banget', 'hidup', 'konoha']","[capek, banget, hidup, konoha]",capek banget hidup konoha,0,0,2025-02-17 06:29:13,False,True,False,id
jayden2’s comment: andai ortu setuju🗿,andai ortu setuju🗿,andai ortu setuju,andai ortu setuju,"['andai', 'ortu', 'tuju']","[andai, ortu, tuju]",andai ortu tuju,0,0,2025-02-12 02:51:02,False,True,False,id
biarin aja pa orang kurang bersukur ya gitu,biarin aja pa orang kurang bersukur ya gitu,biarin aja pa orang kurang bersukur ya gitu,biarin aja pa orang kurang bersukur ya begitu,"['biarin', 'aja', 'pa', 'orang', 'bersukur']","[biarin, aja, pa, orang, bersukur]",biarin aja pa orang bersukur,0,0,2025-02-19 23:47:55,False,True,False,id
Al3xaa_’s comment: pahlawan be like : mending gak gw merdekain 4nj1ng😌🙏,pahlawan be like : mending gak gw merdekain 4nj1ng😌🙏,pahlawan be like mending gak gw merdekain 4nj1ng,pahlawan be like mending tidak saya merdekain 4nj1ng,"['pahlawan', 'be', 'mending', 'merdekain']","[pahlawan, be, mending, merdekain]",pahlawan be mending merdekain,0,0,2025-02-21 11:02:56,False,True,False,id
bismillah soon ya aku persiapkan semauanya dulu insyaallah 2027 yaa,bismillah soon ya aku persiapkan semauanya dulu insyaallah 2027 yaa,bismillah soon ya aku persiapkan semauanya dulu insyaallah 2027 yaa,bismillah soon ya saya persiapkan semauanya dulu insyaallah 2027 yaa,"['bismillah', 'soon', 'siap', 'semauanya', 'insyaallah', 'yaa']","[bismillah, soon, siap, semauanya, insyaallah, yaa]",bismillah soon siap semauanya insyaallah yaa,0,1,2025-02-10 13:01:18,False,True,False,id
coba tanya kenapa pada pindah.. karna disini susah dapat kerja😬,coba tanya kenapa pada pindah.. karna disini susah dapat kerja😬,coba tanya kenapa pada pindah karna disini susah dapat kerja,coba tanya kenapa pada pindah karena disini susah dapat kerja,"['coba', 'pindah', 'susah', 'kerja']","[coba, pindah, susah, kerja]",coba pindah susah kerja,5,0,2025-02-12 14:48:41,False,True,False,id
"debruyne’s comment: prinsip ku tk kerjo halal, akeh sitik syukuri, pngen barokah yo akeh i infaq sidaqoh e, karena saya percaya ajaran islam bahwa perbanyaklah infaq sodaqoh karena akan digantikan yg lbih oleh Allah, 😇","prinsip ku tk kerjo halal, akeh sitik syukuri, pngen barokah yo akeh i infaq sidaqoh e, karena saya percaya ajaran islam bahwa perbanyaklah infaq sodaqoh karena akan digantikan yg lbih oleh Allah, 😇",prinsip ku tk kerjo halal akeh sitik syukuri pngen barokah yo akeh i infaq sidaqoh e karena saya percaya ajaran islam bahwa perbanyaklah infaq sodaqoh karena akan digantikan yg lbih oleh allah,prinsip saya tk kerjo halal akeh sitik syukuri pngen barokah yo akeh i infaq sidaqoh e karena saya percaya ajaran islam bahwa perbanyaklah infaq sodaqoh karena akan digantikan yang lbih oleh allah,"['prinsip', 'tk', 'kerjo', 'halal', 'akeh', 'sitik', 'syukur', 'pngen', 'barokah', 'yo', 'akeh', 'infaq', 'sidaqoh', 'percaya', 'ajar', 'islam', 'banyak', 'infaq', 'sodaqoh', 'ganti', 'lbih', 'allah']","[prinsip, tk, kerjo, halal, akeh, sitik, syukur, pngen, barokah, yo, akeh, infaq, sidaqoh, percaya, ajar, islam, banyak, infaq, sodaqoh, ganti, lbih, allah]",prinsip tk kerjo halal akeh sitik syukur pngen barokah yo akeh infaq sidaqoh percaya ajar islam banyak infaq sodaqoh ganti lbih allah,0,0,2025-02-11 04:55:41,False,True,False,id
"𝓜𝔂_𝓮𝓴𝓪88🌵’s comment: Jiwa nasionalisme saya cuma klw para pemain timnas aja pd maen bola,badminton sama volli pak","Jiwa nasionalisme saya cuma klw para pemain timnas aja pd maen bola,badminton sama volli pak",jiwa nasionalisme saya cuma klw para pemain timnas aja pd maen bolabadminton sama volli pak,jiwa nasionalisme saya cuma kalau para pemain timnas aja pd maen bolabadminton sama volli pak,"['jiwa', 'nasionalisme', 'main', 'timnas', 'aja', 'pd', 'maen', 'bolabadminton', 'volli']","[jiwa, nasionalisme, main, timnas, aja, pd, maen, bolabadminton, volli]",jiwa nasionalisme main timnas aja pd maen bolabadminton volli,0,0,2025-02-20 02:22:30,False,True,False,id
lanjutkan pindah pindah,lanjutkan pindah pindah,lanjutkan pindah pindah,lanjutkan pindah pindah,"['lanjut', 'pindah', 'pindah']","[lanjut, pindah, pindah]",lanjut pindah pindah,1,0,2025-02-13 03:05:33,False,True,False,id
安妮’s comment: 🤣🤣🤣....gasss wae lah,🤣🤣🤣....gasss wae lah,gasss wae lah,gas wae lah,"['gas', 'wae']","[gas, wae]",gas wae,0,0,2025-02-17 09:14:21,False,True,False,id
"del’s comment: gpp pada pindah aja, gua puyeng banyak org","gpp pada pindah aja, gua puyeng banyak org",gpp pada pindah aja gua puyeng banyak org,gpp pada pindah aja saya puyeng banyak orang,"['gpp', 'pindah', 'aja', 'puyeng', 'orang']","[gpp, pindah, aja, puyeng, orang]",gpp pindah aja puyeng orang,0,0,2025-02-16 16:33:10,False,True,False,id
"abcdefuckyou’s comment: Walaupun banyak negeri ku jalani
Yang mahsyur permai di kata orang
Tetapi kampung dan rumahku
Di sanalah kurasa senang
Tanahku tak kulupakan
Engkau kubanggakan😌","Walaupun banyak negeri ku jalani
Yang mahsyur permai di kata orang
Tetapi kampung dan rumahku
Di sanalah kurasa senang
Tanahku tak kulupakan
Engkau kubanggakan😌",walaupun banyak negeri ku jalani yang mahsyur permai di kata orang tetapi kampung dan rumahku di sanalah kurasa senang tanahku tak kulupakan engkau kubanggakan,walaupun banyak negeri saya jalani yang mahsyur permai di kata orang tetapi kampung dan rumahku di sanalah kurasa senang tanahku tak kulupakan engkau kubanggakan,"['negeri', 'jalan', 'mahsyur', 'permai', 'orang', 'kampung', 'rumah', 'sana', 'rasa', 'senang', 'tanah', 'lupa', 'engkau', 'bangga']","[negeri, jalan, mahsyur, permai, orang, kampung, rumah, sana, rasa, senang, tanah, lupa, engkau, bangga]",negeri jalan mahsyur permai orang kampung rumah sana rasa senang tanah lupa engkau bangga,0,0,2025-02-14 17:00:48,False,True,False,ms
N untuk Nazril’s comment: meragukan🥰🥰🥰,meragukan🥰🥰🥰,meragukan,meragukan,['ragu'],[ragu],ragu,0,0,2025-02-20 12:31:56,False,True,False,id
Muhammad Afrianto’s comment: Yg penting cuan 😂😂😂😂😂,Yg penting cuan 😂😂😂😂😂,yg penting cuan,yang penting cuan,['cuan'],[cuan],cuan,0,0,2025-02-16 01:42:07,False,True,False,id
"#kaburajadulu
#stopbayarpajak
suarakan terus","#kaburajadulu
#stopbayarpajak
suarakan terus",suarakan terus,suarakan terus,['suara'],[suara],suara,0,0,2025-02-18 11:53:12,False,True,False,id
Orang Biasa’s comment: tau kan kenapa papua mau merdeka juga 🗿,tau kan kenapa papua mau merdeka juga 🗿,tau kan kenapa papua mau merdeka juga,tau kan kenapa papua mau merdeka juga,"['tau', 'papua', 'merdeka']","[tau, papua, merdeka]",tau papua merdeka,2,0,2025-02-13 06:52:55,False,True,False,id
Cornelia Nana’s comment: yuk gassss,yuk gassss,yuk gassss,yuk gas,['gas'],[gas],gas,0,0,2025-02-22 05:08:23,False,True,False,id
Está ben💢’s comment: cari kerja aja harus minimal maksimal,cari kerja aja harus minimal maksimal,cari kerja aja harus minimal maksimal,cari kerja aja harus minimal maksimal,"['cari', 'kerja', 'aja', 'minimal', 'maksimal']","[cari, kerja, aja, minimal, maksimal]",cari kerja aja minimal maksimal,1,0,2025-02-23 21:49:39,False,True,False,id
"ada aja gebrakannya,kemaren gas juga ulah dia tuh😡😡","ada aja gebrakannya,kemaren gas juga ulah dia tuh😡😡",ada aja gebrakannyakemaren gas juga ulah dia tuh,ada aja gebrakannyakemaren gas juga ulah dia tuh,"['aja', 'gebrakannyakemaren', 'gas', 'ulah']","[aja, gebrakannyakemaren, gas, ulah]",aja gebrakannyakemaren gas ulah,0,0,2025-02-20 04:38:38,False,True,False,id
"ayra Sofia’s comment: ia km ngomong gini Krn dh JD Mentri,,kantongmu aman 😂😂😂","ia km ngomong gini Krn dh JD Mentri,,kantongmu aman 😂😂😂",ia km ngomong gini krn dh jd mentrikantongmu aman,ia kamu ngomong gini karena sudah jadi mentrikantongmu aman,"['ngomong', 'gin', 'mentrikantongmu', 'aman']","[ngomong, gin, mentrikantongmu, aman]",ngomong gin mentrikantongmu aman,1,1,2025-02-12 07:25:44,False,True,False,id
"~~《i'm Nothing》~~’s comment: saya juga meragukan nasionalisme para pejabat di negri ini,","saya juga meragukan nasionalisme para pejabat di negri ini,",saya juga meragukan nasionalisme para pejabat di negri ini,saya juga meragukan nasionalisme para pejabat di negri ini,"['ragu', 'nasionalisme', 'jabat', 'negri']","[ragu, nasionalisme, jabat, negri]",ragu nasionalisme jabat negri,0,0,2025-02-16 05:37:54,False,True,False,id
"Cipta🌏’s comment: si paling nasionalisme,","si paling nasionalisme,",si paling nasionalisme,si paling nasionalisme,['nasionalisme'],[nasionalisme],nasionalisme,0,0,2025-02-20 06:29:51,False,True,False,id
Winda Cold’s comment: Hidup itu realistis aja. yang asik yg dipilih😁,Hidup itu realistis aja. yang asik yg dipilih😁,hidup itu realistis aja yang asik yg dipilih,hidup itu realistis aja yang asik yang dipilih,"['hidup', 'realistis', 'aja', 'asik', 'pilih']","[hidup, realistis, aja, asik, pilih]",hidup realistis aja asik pilih,1,0,2025-02-16 13:56:02,False,True,False,id
Halil Fuady’s comment: Kerja di luar negeri = pindah 😂,Kerja di luar negeri = pindah 😂,kerja di luar negeri pindah,kerja di luar negeri pindah,"['kerja', 'negeri', 'pindah']","[kerja, negeri, pindah]",kerja negeri pindah,0,0,2025-02-20 10:15:01,False,True,False,ms
aku takut tgl diindo dan pengennya di Taiwan aja lebih nyaman segalanya,aku takut tgl diindo dan pengennya di Taiwan aja lebih nyaman segalanya,aku takut tgl diindo dan pengennya di taiwan aja lebih nyaman segalanya,saya takut tanggal diindo dan inginnya di taiwan aja lebih nyaman segalanya,"['takut', 'tanggal', 'diindo', 'ingin', 'taiwan', 'aja', 'nyaman']","[takut, tanggal, diindo, ingin, taiwan, aja, nyaman]",takut tanggal diindo ingin taiwan aja nyaman,0,0,2025-02-20 00:01:37,False,True,False,id
"TUNGGU AKU THAILAND, AUSTRALIA AND AMERIKA🤍","TUNGGU AKU THAILAND, AUSTRALIA AND AMERIKA🤍",tunggu aku thailand australia and amerika,tunggu saya thailand australia and amerika,"['tunggu', 'thailand', 'australia', 'and', 'amerika']","[tunggu, thailand, australia, and, amerika]",tunggu thailand australia and amerika,0,0,2025-02-23 04:26:30,False,True,False,ms
Naawaa’s comment: @kiwii bismilah terkabul,@kiwii bismilah terkabul,bismilah terkabul,bismillah terkabul,"['bismillah', 'kabul']","[bismillah, kabul]",bismillah kabul,0,0,2025-02-11 13:37:38,False,True,False,id
Dewi’s comment: nasionalisme 😅😅😅selalu dihati pak makanya cari kerja halal keluar negeri👍👍👍 daripada korupsi mati kelaparan,nasionalisme 😅😅😅selalu dihati pak makanya cari kerja halal keluar negeri👍👍👍 daripada korupsi mati kelaparan,nasionalisme selalu dihati pak makanya cari kerja halal keluar negeri daripada korupsi mati kelaparan,nasionalisme selalu dihati pak makanya cari kerja halal keluar negeri daripada korupsi mati kelaparan,"['nasionalisme', 'hati', 'cari', 'kerja', 'halal', 'negeri', 'korupsi', 'mati', 'lapar']","[nasionalisme, hati, cari, kerja, halal, negeri, korupsi, mati, lapar]",nasionalisme hati cari kerja halal negeri korupsi mati lapar,0,0,2025-02-20 05:03:58,False,True,False,id
pacar rikiii’s comment: Ciamis jirr wkwkwk kok aku gatau😭😭,Ciamis jirr wkwkwk kok aku gatau😭😭,ciamis jirr wkwkwk kok aku gatau,ciamis jirr wkwkwk kok saya gatau,"['ciamis', 'jirr', 'wkwkwk', 'gatau']","[ciamis, jirr, wkwkwk, gatau]",ciamis jirr wkwkwk gatau,0,0,2025-02-17 12:13:28,False,True,False,id
Rayaa’s comment: coe turun lgsg gas #kaburajadulu mwhehe,coe turun lgsg gas #kaburajadulu mwhehe,coe turun lgsg gas mwhehe,coe turun lgsg gas mwhehe,"['coe', 'turun', 'lgsg', 'gas', 'mwhehe']","[coe, turun, lgsg, gas, mwhehe]",coe turun lgsg gas mwhehe,0,0,2025-02-16 05:20:26,False,True,False,id
"balikin dulu tanah rakyat, baru ngomong gt 🗿","balikin dulu tanah rakyat, baru ngomong gt 🗿",balikin dulu tanah rakyat baru ngomong gt,balikin dulu tanah rakyat baru ngomong begitu,"['balikin', 'tanah', 'rakyat', 'ngomong']","[balikin, tanah, rakyat, ngomong]",balikin tanah rakyat ngomong,0,0,2025-02-19 10:35:02,False,True,False,id
"’s comment: pengen #kaburajadulu, semoga ada jalannyaaa😭","pengen #kaburajadulu, semoga ada jalannyaaa😭",pengen semoga ada jalannyaaa,ingin semoga ada jalannya,"['moga', 'jalan']","[moga, jalan]",moga jalan,1,0,2025-02-12 04:05:18,False,True,False,id
derrian’s comment: sumpah pemuda,sumpah pemuda,sumpah pemuda,sumpah pemuda,"['sumpah', 'pemuda']","[sumpah, pemuda]",sumpah pemuda,0,0,2025-02-19 06:03:15,False,True,False,id
marsupilami’s comment: ntah la pakde.,ntah la pakde.,ntah la pakde,ntah la pakde,"['ntah', 'la', 'pakde']","[ntah, la, pakde]",ntah la pakde,0,0,2025-02-20 06:39:04,False,True,False,ms
Kisanak’s comment: di konoha kerja cuma utk bertahan hidup. habis bulan habis gaji,di konoha kerja cuma utk bertahan hidup. habis bulan habis gaji,di konoha kerja cuma utk bertahan hidup habis bulan habis gaji,di konoha kerja cuma untuk bertahan hidup habis bulan habis gaji,"['konoha', 'kerja', 'tahan', 'hidup', 'habis', 'habis', 'gaji']","[konoha, kerja, tahan, hidup, habis, habis, gaji]",konoha kerja tahan hidup habis habis gaji,1,0,2025-02-16 02:14:50,False,True,False,ms
